task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_target_in_max_tie_rate,train_mean_max_tie_count,train_mean_target_bias_rank,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_target_in_max_tie_rate,validation_mean_max_tie_count,validation_mean_target_bias_rank,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_target_in_max_tie_rate,test_mean_max_tie_count,test_mean_target_bias_rank
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,12,6,12,27.631021,999999999999.999,0.0,0.012575,0.0,0.555555,0.555555,0.0,2.166667,14.833333,27.631021,999999999999.999,0.0,0.016343,0.0,0.305555,0.305555,0.0,3.333333,21.333333,25.462556,114352983608.29196,0.083333,0.117966,0.016667,0.25,0.166667,0.0,4.5,29.0
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,12,6,12,27.631021,999999999999.999,0.0,0.012608,0.0,0.625,0.625,0.0,1.75,15.5,27.631021,999999999999.999,0.0,0.016503,0.0,0.5,0.5,0.0,2.0,28.333333,27.631021,999999999999.999,0.0,0.063982,0.0,0.583333,0.583333,0.0,1.833333,41.833333
phase_cued_retrieval,313,no_position,no_position,12,6,12,3.193193,24.366105,0.083333,0.186636,0.045114,0.089294,0.121903,1.0,27.0,14.0,3.432514,30.954351,0.0,0.109633,0.034188,0.068376,0.068376,1.0,39.0,12.333333,3.650064,38.477146,0.0,0.100427,0.027862,0.055274,0.055274,1.0,55.0,11.25
phase_cued_retrieval,313,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.919753,0.916667,1.0,0.083333,0.916667,1.0,1.416667,18.420681,100000000.0,0.333333,0.371977,0.333333,0.833333,0.5,0.333333,1.333333,5.5,25.386198,105946309435.92932,0.0,0.058309,0.041667,0.583333,0.583333,0.0,1.833333,8.5
phase_cued_retrieval,313,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.074195,0.0,1.0,1.0,0.0,1.0,14.0,27.631021,999999999999.999,0.0,0.04256,0.0,1.0,1.0,0.0,1.0,27.666667,27.631021,999999999999.999,0.0,0.018099,0.0,1.0,1.0,0.0,1.0,44.75
phase_cued_retrieval,313,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.919753,0.916667,1.0,0.083333,0.916667,1.0,2.583333,18.420681,100000000.0,0.333333,0.380311,0.333333,1.0,0.666667,0.333333,1.0,15.833333,25.328436,99999999999.9998,0.083333,0.100295,0.083333,1.0,0.916667,0.0,1.0,40.833333
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,12,6,12,25.386198,105946309435.92932,0.083333,0.139148,0.041667,0.5,0.416667,0.0,2.166667,14.583333,27.631021,999999999999.999,0.0,0.030033,0.0,0.319444,0.319444,0.0,3.166667,21.166667,27.631021,999999999999.999,0.0,0.017195,0.0,0.288889,0.288889,0.0,4.5,29.166667
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,12,6,12,25.386198,105946309435.92932,0.083333,0.139271,0.041667,0.583333,0.5,0.0,1.833333,15.333333,27.631021,999999999999.999,0.0,0.037003,0.0,0.583333,0.583333,0.0,1.833333,28.0,27.631021,999999999999.999,0.0,0.017804,0.0,0.583333,0.583333,0.0,1.833333,42.416667
phase_cued_retrieval,317,no_position,no_position,12,6,12,3.16922,23.788926,0.083333,0.176273,0.043244,0.082048,0.023025,1.0,27.0,15.333333,3.432514,30.954351,0.0,0.1023,0.034188,0.064103,0.064103,1.0,39.0,10.166667,3.640247,38.101231,0.083333,0.235281,0.029185,0.049955,0.033378,1.0,55.0,12.083333
phase_cued_retrieval,317,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.917929,0.916667,1.0,0.083333,0.916667,1.0,1.416667,18.420681,100000000.0,0.333333,0.347253,0.333333,0.833333,0.5,0.166667,1.333333,6.5,27.631021,999999999999.999,0.0,0.055342,0.0,0.583333,0.583333,0.0,1.833333,8.833333
phase_cued_retrieval,317,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.014358,0.0,1.0,1.0,0.0,1.0,12.666667,27.631021,999999999999.999,0.0,0.019471,0.0,1.0,1.0,0.0,1.0,29.833333,27.631021,999999999999.999,0.0,0.0703,0.0,1.0,1.0,0.0,1.0,43.916667
phase_cued_retrieval,317,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.917929,0.916667,1.0,0.083333,0.916667,1.0,2.583333,18.420681,100000000.0,0.333333,0.347385,0.333333,1.0,0.666667,0.166667,1.0,19.5,27.631021,999999999999.999,0.0,0.070013,0.0,1.0,1.0,0.0,1.0,38.333333
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,12,6,12,25.419987,109587278245.80165,0.0,0.040471,0.027778,0.527778,0.527778,0.0,2.166667,14.833333,27.631021,999999999999.999,0.0,0.019085,0.0,0.305555,0.305555,0.0,3.333333,21.833333,27.631021,999999999999.999,0.0,0.039112,0.0,0.25,0.25,0.0,4.5,29.0
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,12,6,12,25.386198,105946309435.92932,0.0,0.054382,0.041667,0.625,0.625,0.0,1.75,15.5,27.631021,999999999999.999,0.0,0.019429,0.0,0.583333,0.583333,0.0,1.833333,30.333333,27.631021,999999999999.999,0.0,0.055324,0.0,0.541667,0.541667,0.0,1.916667,41.916667
phase_cued_retrieval,331,no_position,no_position,12,6,12,3.16922,23.788926,0.0,0.166565,0.043244,0.084736,0.084736,1.0,27.0,15.333333,3.316989,27.577192,0.0,0.197829,0.038462,0.059829,0.059829,1.0,39.0,10.166667,3.847321,46.867329,0.083333,0.139171,0.022994,0.057047,0.026286,1.0,55.0,12.083333
phase_cued_retrieval,331,sinusoidal,sinusoidal,12,6,12,2.302585,10.0,0.916667,0.917708,0.916667,1.0,0.083333,0.916667,1.0,1.416667,23.025851,10000000000.000004,0.166667,0.179415,0.166667,0.833333,0.666667,0.166667,1.333333,6.5,27.631021,999999999999.999,0.0,0.056864,0.0,0.583333,0.583333,0.0,1.833333,8.833333
phase_cued_retrieval,331,alibi,alibi,12,6,12,27.631021,999999999999.999,0.0,0.038991,0.0,1.0,1.0,0.0,1.0,12.666667,27.631021,999999999999.999,0.0,0.015215,0.0,1.0,1.0,0.0,1.0,29.833333,27.631021,999999999999.999,0.0,0.06624,0.0,1.0,1.0,0.0,1.0,43.916667
phase_cued_retrieval,331,rope_relative,rope,12,6,12,2.302585,10.0,0.916667,0.917708,0.916667,1.0,0.083333,0.916667,1.0,2.583333,23.025851,10000000000.000004,0.166667,0.179527,0.166667,1.0,0.833333,0.166667,1.0,19.5,27.631021,999999999999.999,0.0,0.066063,0.0,1.0,1.0,0.0,1.0,38.333333
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,12,6,12,25.386198,105946309435.92932,0.0,0.072272,0.041667,0.555555,0.555555,0.0,2.166667,14.833333,27.631021,999999999999.999,0.0,0.015081,0.0,0.305555,0.305555,0.0,3.333333,21.833333,27.631021,999999999999.999,0.0,0.043278,0.0,0.229167,0.229167,0.0,4.5,29.0
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,12,6,12,25.386198,105946309435.92932,0.0,0.072306,0.041667,0.625,0.625,0.0,1.75,15.5,27.631021,999999999999.999,0.0,0.015119,0.0,0.583333,0.583333,0.0,1.833333,30.333333,27.631021,999999999999.999,0.0,0.056716,0.0,0.541667,0.541667,0.0,1.916667,41.916667
