task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_head_class_count,support_head_train_accuracy,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,validation_selection_metrics,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.649266, 'perplexity': 1.914135, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.52335, 'mean_top1_confidence': 0.52335, 'expected_calibration_error': 0.47665}",0.912286,2.490009,0.75,0.875,0.597331,0.795819,0.286699,0.649266,1.914135,1.0,1.0,0.52335,0.52335,0.47665,1.094665,2.988181,0.75,0.875,0.383717,0.425745,0.324255
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.649266, 'perplexity': 1.914135, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.52335, 'mean_top1_confidence': 0.52335, 'expected_calibration_error': 0.47665}",0.912286,2.490009,0.75,0.875,0.597331,0.795819,0.286699,0.649266,1.914135,1.0,1.0,0.52335,0.52335,0.47665,1.094665,2.988181,0.75,0.875,0.383717,0.425745,0.324255
exact_offset_passkey,311,no_position,no_position,4,2,4,7,1.0,1.0,0.0,2.0,-1.0,"{'row_count': 2.0, 'loss': 1.667431, 'perplexity': 5.298537, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.335023, 'mean_top1_confidence': 0.335023, 'expected_calibration_error': 0.664977}",1.883339,6.575421,0.5,0.534722,0.357615,0.376399,0.196272,1.667431,5.298537,1.0,1.0,0.335023,0.335023,0.664977,4.033119,56.436661,0.25,0.313384,0.026308,0.301949,0.48701
exact_offset_passkey,311,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,12.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.02618, 'perplexity': 1.026526, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.974392, 'mean_top1_confidence': 0.974392, 'expected_calibration_error': 0.025608}",0.215868,1.240939,1.0,1.0,0.827867,0.827867,0.172133,0.02618,1.026526,1.0,1.0,0.974392,0.974392,0.025608,0.695848,2.00541,0.75,0.875,0.679767,0.881867,0.264936
exact_offset_passkey,311,alibi,alibi,4,2,4,7,1.0,1.0,0.5,4.0,2.0,"{'row_count': 2.0, 'loss': 1.453358, 'perplexity': 4.277453, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.492776, 'mean_top1_confidence': 0.492776, 'expected_calibration_error': 0.507224}",2.015765,7.50647,0.5,0.525063,0.500994,0.545946,0.062043,1.453358,4.277453,1.0,1.0,0.492776,0.492776,0.507224,5.078711,160.56697,0.0,0.200625,0.021777,0.499427,0.499427
exact_offset_passkey,311,rope_relative,rope,4,2,4,7,1.0,1.0,12.0,2.0,1.0,"{'row_count': 2.0, 'loss': 0.64288, 'perplexity': 1.90195, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.620706, 'mean_top1_confidence': 0.620706, 'expected_calibration_error': 0.379294}",0.730986,2.077128,0.5,0.708333,0.59905,0.607979,0.152907,0.64288,1.90195,1.0,1.0,0.620706,0.620706,0.379294,1.246307,3.477478,1.0,1.0,0.287627,0.287627,0.712373
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,2.0,-1.0,"{'row_count': 2.0, 'loss': 1.667431, 'perplexity': 5.298537, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.335023, 'mean_top1_confidence': 0.335023, 'expected_calibration_error': 0.664977}",1.883339,6.575421,0.5,0.534722,0.357615,0.376399,0.196272,1.667431,5.298537,1.0,1.0,0.335023,0.335023,0.664977,4.033119,56.436661,0.25,0.313384,0.026308,0.301949,0.48701
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,2.0,-1.0,"{'row_count': 2.0, 'loss': 1.667431, 'perplexity': 5.298537, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.335023, 'mean_top1_confidence': 0.335023, 'expected_calibration_error': 0.664977}",1.883339,6.575421,0.5,0.534722,0.357615,0.376399,0.196272,1.667431,5.298537,1.0,1.0,0.335023,0.335023,0.664977,4.033119,56.436661,0.25,0.313384,0.026308,0.301949,0.48701
tiny_text_fact_qa,311,no_position,no_position,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,311,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,311,alibi,alibi,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,311,rope_relative,rope,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
phase_cued_retrieval,313,no_position,no_position,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.435888, 'perplexity': 1.546335, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.646825, 'mean_top1_confidence': 0.646825, 'expected_calibration_error': 0.353175}",0.540147,1.71626,1.0,1.0,0.594189,0.594189,0.405811,0.435888,1.546335,1.0,1.0,0.646825,0.646825,0.353175,1.014333,2.757524,0.75,0.875,0.393542,0.456813,0.293187
phase_cued_retrieval,313,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.435888, 'perplexity': 1.546335, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.646825, 'mean_top1_confidence': 0.646825, 'expected_calibration_error': 0.353175}",0.540147,1.71626,1.0,1.0,0.594189,0.594189,0.405811,0.435888,1.546335,1.0,1.0,0.646825,0.646825,0.353175,1.014333,2.757524,0.75,0.875,0.393542,0.456813,0.293187
phase_cued_retrieval,313,alibi,alibi,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.435888, 'perplexity': 1.546335, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.646825, 'mean_top1_confidence': 0.646825, 'expected_calibration_error': 0.353175}",0.540147,1.71626,1.0,1.0,0.594189,0.594189,0.405811,0.435888,1.546335,1.0,1.0,0.646825,0.646825,0.353175,1.014333,2.757524,0.75,0.875,0.393542,0.456813,0.293187
phase_cued_retrieval,313,rope_relative,rope,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.435888, 'perplexity': 1.546335, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.646825, 'mean_top1_confidence': 0.646825, 'expected_calibration_error': 0.353175}",0.540147,1.71626,1.0,1.0,0.594189,0.594189,0.405811,0.435888,1.546335,1.0,1.0,0.646825,0.646825,0.353175,1.014333,2.757524,0.75,0.875,0.393542,0.456813,0.293187
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.435888, 'perplexity': 1.546335, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.646825, 'mean_top1_confidence': 0.646825, 'expected_calibration_error': 0.353175}",0.540147,1.71626,1.0,1.0,0.594189,0.594189,0.405811,0.435888,1.546335,1.0,1.0,0.646825,0.646825,0.353175,1.014333,2.757524,0.75,0.875,0.393542,0.456813,0.293187
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.435888, 'perplexity': 1.546335, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.646825, 'mean_top1_confidence': 0.646825, 'expected_calibration_error': 0.353175}",0.540147,1.71626,1.0,1.0,0.594189,0.594189,0.405811,0.435888,1.546335,1.0,1.0,0.646825,0.646825,0.353175,1.014333,2.757524,0.75,0.875,0.393542,0.456813,0.293187
exact_offset_passkey,313,no_position,no_position,4,2,4,7,1.0,1.0,0.0,12.0,-8.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",11.247225,76666.90406,0.0,0.074055,0.003337,0.629701,0.629701,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.659648,15672.274808,0.25,0.284051,0.25026,0.678992,0.428992
exact_offset_passkey,313,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,0.0,12.0,-8.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",11.247225,76666.90406,0.0,0.074055,0.003337,0.629701,0.629701,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.659648,15672.274808,0.25,0.284051,0.25026,0.678992,0.428992
exact_offset_passkey,313,alibi,alibi,4,2,4,7,1.0,1.0,0.0,12.0,-8.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",11.247225,76666.90406,0.0,0.074055,0.003337,0.629701,0.629701,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.659648,15672.274808,0.25,0.284051,0.25026,0.678992,0.428992
exact_offset_passkey,313,rope_relative,rope,4,2,4,7,1.0,1.0,0.0,12.0,-8.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",11.247225,76666.90406,0.0,0.074055,0.003337,0.629701,0.629701,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.659648,15672.274808,0.25,0.284051,0.25026,0.678992,0.428992
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,12.0,-8.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",11.247225,76666.90406,0.0,0.074055,0.003337,0.629701,0.629701,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.659648,15672.274808,0.25,0.284051,0.25026,0.678992,0.428992
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,12.0,-8.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",11.247225,76666.90406,0.0,0.074055,0.003337,0.629701,0.629701,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.659648,15672.274808,0.25,0.284051,0.25026,0.678992,0.428992
tiny_text_fact_qa,313,no_position,no_position,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.783874,2.189939,0.75,0.763889,0.76087,0.771739,0.021739,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,313,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.783874,2.189939,0.75,0.763889,0.76087,0.771739,0.021739,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,313,alibi,alibi,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.783874,2.189939,0.75,0.763889,0.76087,0.771739,0.021739,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
