support_policy,task,method,seed_count,failed_run_count,selected_position_scale_mean,selected_cue_scale_mean,selected_distance_scale_mean,test_support_known_fraction_mean,train_loss_mean,train_loss_ci_low,train_loss_ci_high,train_perplexity_mean,train_perplexity_ci_low,train_perplexity_ci_high,train_top1_accuracy_mean,train_top1_accuracy_ci_low,train_top1_accuracy_ci_high,train_mrr_mean,train_mrr_ci_low,train_mrr_ci_high,train_mean_target_probability_mean,train_mean_target_probability_ci_low,train_mean_target_probability_ci_high,train_mean_top1_confidence_mean,train_mean_top1_confidence_ci_low,train_mean_top1_confidence_ci_high,train_expected_calibration_error_mean,train_expected_calibration_error_ci_low,train_expected_calibration_error_ci_high,validation_loss_mean,validation_loss_ci_low,validation_loss_ci_high,validation_perplexity_mean,validation_perplexity_ci_low,validation_perplexity_ci_high,validation_top1_accuracy_mean,validation_top1_accuracy_ci_low,validation_top1_accuracy_ci_high,validation_mrr_mean,validation_mrr_ci_low,validation_mrr_ci_high,validation_mean_target_probability_mean,validation_mean_target_probability_ci_low,validation_mean_target_probability_ci_high,validation_mean_top1_confidence_mean,validation_mean_top1_confidence_ci_low,validation_mean_top1_confidence_ci_high,validation_expected_calibration_error_mean,validation_expected_calibration_error_ci_low,validation_expected_calibration_error_ci_high,test_loss_mean,test_loss_ci_low,test_loss_ci_high,test_perplexity_mean,test_perplexity_ci_low,test_perplexity_ci_high,test_top1_accuracy_mean,test_top1_accuracy_ci_low,test_top1_accuracy_ci_high,test_mrr_mean,test_mrr_ci_low,test_mrr_ci_high,test_mean_target_probability_mean,test_mean_target_probability_ci_low,test_mean_target_probability_ci_high,test_mean_top1_confidence_mean,test_mean_top1_confidence_ci_low,test_mean_top1_confidence_ci_high,test_expected_calibration_error_mean,test_expected_calibration_error_ci_low,test_expected_calibration_error_ci_high
fallback_mod16,exact_offset_passkey,phasewrap_bias,5,0,0.0,10.6,-2.0,1.0,5.482022,1.706897,9.670858,200226.742801,29.280726,600200.200001,0.65,0.3,0.9,0.692648,0.393265,0.952632,0.490143,0.180286,0.8,0.685014,0.35076,1.0,0.369268,0.152141,0.651381,6.998772,1.931293,12.066251,400034.003233,66.001708,800031.832368,0.6,0.2,0.9,0.632196,0.34897,0.911111,0.422327,0.124855,0.721063,0.661104,0.28425,1.0,0.418979,0.140042,0.736812,15.456043,7.202736,23.063914,69959418511.65758,200000213.928236,209078255180.32404,0.2,0.05,0.35,0.252668,0.103767,0.40226,0.115099,0.019203,0.210994,0.64431,0.277404,1.0,0.611215,0.316741,0.85
fallback_mod16,exact_offset_passkey,phasewrap_adapter,5,0,0.0,10.6,-2.0,1.0,5.482022,1.751079,10.040385,200226.742801,29.280726,600200.200001,0.65,0.3,0.95,0.692648,0.393265,0.913393,0.490143,0.180286,0.85,0.685014,0.35076,1.0,0.369268,0.15,0.634254,6.998772,2.027684,12.066251,400034.003233,36.174099,800031.821158,0.6,0.2,0.9,0.632196,0.34897,0.907143,0.422327,0.124855,0.8,0.661104,0.303229,1.0,0.418979,0.140042,0.657875,15.456043,7.202736,23.063914,69959418511.65758,200000115.130689,208878255195.6414,0.2,0.05,0.35,0.252668,0.103767,0.40226,0.115099,0.019203,0.210994,0.64431,0.28862,1.0,0.611215,0.316741,0.85
fallback_mod16,tiny_text_fact_qa,no_position,5,0,0.0,24.0,0.0,1.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.663398,0.0,1.39611,2.732176,1.0,4.830175,0.8,0.6,1.0,0.820238,0.627381,1.0,0.807692,0.612821,1.0,0.810256,0.620513,1.0,0.010256,0.0,0.020513,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fallback_mod16,tiny_text_fact_qa,sinusoidal,5,0,4.8,20.0,0.0,1.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.00823,0.0,0.017951,1.008318,1.0,1.018158,1.0,1.0,1.0,1.0,1.0,1.0,0.991942,0.982454,1.0,0.991942,0.981024,1.0,0.008058,0.0,0.017546,1e-06,0.0,3e-06,1.000001,1.0,1.000003,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,0.999997,1.0,0.999999,0.999997,1.0,1e-06,0.0,3e-06
fallback_mod16,tiny_text_fact_qa,alibi,5,0,0.3,24.0,0.0,1.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.669643,0.0,1.434317,2.795248,1.0,4.590496,0.8,0.6,1.0,0.828704,0.657408,1.0,0.807853,0.612205,1.0,0.812656,0.623125,1.0,0.012656,0.0,0.026404,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fallback_mod16,tiny_text_fact_qa,rope_relative,5,0,4.8,22.4,0.0,1.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.232333,0.0,0.46723,1.315025,1.0,1.634633,1.0,1.0,1.0,1.0,1.0,1.0,0.862598,0.725196,1.0,0.862598,0.723591,1.0,0.137402,0.0,0.274804,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
fallback_mod16,tiny_text_fact_qa,phasewrap_bias,5,0,3.2,24.0,0.0,1.0,0.16675,0.004909,0.475391,1.248088,1.004969,1.719094,0.95,0.85,1.0,0.952778,0.858333,1.0,0.942328,0.851525,0.995151,0.944502,0.858046,0.995151,0.014194,0.004348,0.02404,2.249969,0.0,6.310403,7391.140313,1.0,22170.988824,0.9,0.7,1.0,0.904545,0.713636,1.0,0.816783,0.609597,1.0,0.83476,0.657535,1.0,0.101194,0.0,0.260442,0.021324,0.0,0.043076,1.021903,1.0,1.044257,1.0,1.0,1.0,1.0,1.0,1.0,0.979245,0.957671,1.0,0.979245,0.95808,1.0,0.020755,0.0,0.04192
fallback_mod16,tiny_text_fact_qa,phasewrap_adapter,5,0,2.4,24.0,0.0,1.0,0.160228,0.0,0.473777,1.241471,1.0,1.717446,0.95,0.85,1.0,0.952778,0.858333,1.0,0.948751,0.853099,1.0,0.950924,0.85962,0.999999,0.007771,0.0,0.016466,1.246477,0.0,3.484609,54.811458,1.0,162.078011,0.9,0.7,1.0,0.904762,0.714286,1.0,0.826288,0.62629,1.0,0.844964,0.682318,1.0,0.092391,0.0,0.22114,0.0069,0.0,0.020699,1.007021,1.0,1.02106,1.0,1.0,1.0,1.0,1.0,1.0,0.99322,0.979661,1.0,0.99322,0.97966,1.0,0.00678,0.0,0.02034
strict_known_only,phase_cued_retrieval,no_position,5,0,0.0,4.0,8.0,0.0,0.266694,0.105213,0.523614,1.354358,1.08899,1.75826,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.700801,0.922657,0.862196,0.801735,0.922657,0.154492,0.077343,0.231641,2.152193,1.616154,2.839037,11.312267,5.438825,21.270776,0.5,0.5,0.5,0.564268,0.535859,0.598611,0.295924,0.261257,0.331596,0.366906,0.336829,0.396892,0.318648,0.290091,0.350331,3.2267,2.897391,3.55601,26.976815,19.672124,35.211167,0.05,0.0,0.15,0.19352,0.127311,0.288975,0.059164,0.041074,0.080383,0.148885,0.139315,0.158267,0.177322,0.139315,0.239902
strict_known_only,phase_cued_retrieval,sinusoidal,5,0,3.4,4.4,5.6,0.0,0.371033,0.028832,0.82472,1.617919,1.044845,2.36359,0.9,0.8,1.0,0.95,0.9,1.0,0.776557,0.54214,0.961814,0.815761,0.594032,0.961814,0.138869,0.038186,0.279814,3.467502,1.548275,6.685864,3425.596875,5.217446,10262.741407,0.6,0.5,0.8,0.695238,0.57381,0.85,0.29188,0.208235,0.399194,0.479446,0.346429,0.733734,0.374317,0.201113,0.557809,4.520122,2.869093,7.38341,5092.538388,18.870466,15231.352399,0.2,0.05,0.4,0.335979,0.195327,0.492573,0.057033,0.023155,0.088711,0.319219,0.14193,0.626669,0.34877,0.137468,0.639416
strict_known_only,phase_cued_retrieval,alibi,5,0,0.0,4.0,8.0,0.0,0.266694,0.105213,0.544464,1.354358,1.08899,1.729968,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.708307,0.922657,0.862196,0.806709,0.922657,0.154492,0.077343,0.216722,2.152193,1.64614,2.805698,11.312267,5.438825,21.270776,0.5,0.5,0.5,0.564268,0.537247,0.592045,0.295924,0.262845,0.331596,0.366906,0.340044,0.398553,0.318648,0.285304,0.345544,3.2267,2.91895,3.553599,26.976815,18.680872,35.262698,0.05,0.0,0.15,0.19352,0.125265,0.280525,0.059164,0.042883,0.080383,0.148885,0.139459,0.158929,0.177322,0.139358,0.239902
strict_known_only,phase_cued_retrieval,rope_relative,5,0,6.4,2.8,5.4,0.0,0.960813,0.359766,1.587608,3.387896,1.655145,5.609439,0.7,0.3,1.0,0.795833,0.529166,1.0,0.533413,0.297299,0.825263,0.580975,0.316707,0.832305,0.286474,0.111797,0.449748,3.173144,2.025554,5.192487,270.984274,7.095792,794.287975,0.5,0.5,0.5,0.650952,0.581905,0.72,0.140302,0.107212,0.167906,0.280318,0.155216,0.460873,0.493108,0.336566,0.667438,4.35695,3.328818,6.12462,581.564191,27.586088,1679.536292,0.05,0.0,0.15,0.149337,0.074796,0.233517,0.037597,0.01937,0.055824,0.165527,0.114617,0.242501,0.198332,0.138203,0.264482
strict_known_only,phase_cued_retrieval,phasewrap_bias,5,0,0.0,4.0,8.0,0.0,0.266694,0.084364,0.523614,1.354358,1.08899,1.729968,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.700801,0.922657,0.862196,0.801735,0.922657,0.154492,0.077343,0.231641,2.152193,1.64614,2.835685,11.312267,5.252908,21.270776,0.5,0.5,0.5,0.564268,0.542424,0.597222,0.295924,0.261257,0.331954,0.366906,0.333613,0.395231,0.318648,0.286966,0.34712,3.2267,2.897391,3.582836,26.976815,18.680872,35.211167,0.05,0.0,0.15,0.19352,0.12322,0.288975,0.059164,0.043248,0.079429,0.148885,0.139459,0.158741,0.177322,0.139315,0.244009
strict_known_only,phase_cued_retrieval,phasewrap_adapter,5,0,0.0,4.0,8.0,0.0,0.266694,0.063514,0.523614,1.354358,1.08899,1.729968,0.95,0.85,1.0,0.975,0.925,1.0,0.824318,0.718474,0.922657,0.862196,0.801735,0.917683,0.154492,0.095016,0.227652,2.152193,1.64614,2.865671,11.312267,5.227219,21.270776,0.5,0.5,0.5,0.564268,0.542424,0.597222,0.295924,0.266504,0.331596,0.366906,0.338399,0.398553,0.318648,0.286966,0.350331,3.2267,2.897391,3.529184,26.976815,18.742462,36.19236,0.05,0.0,0.15,0.19352,0.125265,0.286929,0.059164,0.041044,0.079754,0.148885,0.139503,0.158267,0.177322,0.139315,0.244052
strict_known_only,exact_offset_passkey,no_position,5,0,0.0,2.4,-3.8,1.0,4.05741,3.49431,4.613682,71.213586,35.185415,105.820928,0.0,0.0,0.0,0.115887,0.104181,0.1271,0.032595,0.023162,0.042003,0.208507,0.138174,0.26107,0.208507,0.137991,0.26107,3.583275,2.249555,4.81473,75.835396,18.510863,130.059121,0.3,0.0,0.7,0.367488,0.079021,0.657045,0.135397,0.016098,0.345061,0.23831,0.122322,0.429864,0.306234,0.127357,0.615564,6.11976,4.244081,8.479656,9129.208417,108.058022,26957.869576,0.0,0.0,0.0,0.089542,0.045471,0.165811,0.016648,0.00781,0.027594,0.166316,0.090017,0.262541,0.166316,0.09299,0.270377
strict_known_only,exact_offset_passkey,sinusoidal,5,0,12.0,1.6,-1.2,1.0,0.040388,0.031739,0.055339,1.041327,1.03223,1.056225,1.0,1.0,1.0,1.0,1.0,1.0,0.96087,0.947202,0.968812,0.96087,0.947338,0.968777,0.03913,0.031223,0.052644,0.056636,0.024396,0.109276,1.059698,1.024766,1.117509,1.0,1.0,1.0,1.0,1.0,1.0,0.946391,0.8987,0.976005,0.946391,0.898646,0.976005,0.053609,0.023941,0.1013,1.298708,0.477255,2.806475,15.313025,1.580784,42.422735,0.65,0.5,0.85,0.816667,0.733333,0.916667,0.599726,0.503441,0.696803,0.770933,0.616589,0.887527,0.221691,0.078921,0.357017
strict_known_only,exact_offset_passkey,alibi,5,0,0.6,2.4,-2.2,1.0,3.733872,3.270749,4.235763,51.064389,26.609231,89.311584,0.0,0.0,0.0,0.114696,0.102612,0.125909,0.035464,0.027793,0.043025,0.168094,0.115371,0.226528,0.168094,0.125142,0.229563,3.190105,2.034968,4.090758,38.245123,16.088664,60.24075,0.3,0.0,0.7,0.367488,0.078476,0.7365,0.138138,0.022288,0.332954,0.208239,0.098574,0.408958,0.276163,0.107748,0.602081,5.620404,3.919194,8.326807,10669.806143,62.302323,31835.466187,0.0,0.0,0.0,0.090634,0.046648,0.164636,0.018608,0.009658,0.029023,0.143239,0.078111,0.253105,0.143239,0.07703,0.24345
strict_known_only,exact_offset_passkey,rope_relative,5,0,12.0,2.4,-1.0,1.0,1.170319,1.143965,1.216107,3.226615,3.133411,3.382474,1.0,1.0,1.0,1.0,1.0,1.0,0.311294,0.298011,0.319394,0.311294,0.298011,0.319127,0.688706,0.680606,0.701122,1.051653,0.793878,1.191659,2.947996,2.323385,3.29359,1.0,1.0,1.0,1.0,1.0,1.0,0.37998,0.303574,0.526471,0.37998,0.302979,0.526268,0.62002,0.472935,0.695751,2.110912,1.209081,3.908595,62.520704,3.349137,180.83034,0.95,0.85,1.0,0.966667,0.9,1.0,0.277514,0.238042,0.298418,0.327514,0.295677,0.387637,0.722486,0.700619,0.762573
strict_known_only,exact_offset_passkey,phasewrap_bias,5,0,0.0,2.4,-3.8,1.0,4.05741,3.44555,4.613682,71.213586,35.185415,106.434744,0.0,0.0,0.0,0.115887,0.104181,0.1271,0.032595,0.02275,0.04244,0.208507,0.138174,0.26107,0.208507,0.137991,0.26107,3.583275,2.077125,4.835243,75.835396,18.510863,133.159929,0.3,0.0,0.7,0.367488,0.078476,0.7365,0.135397,0.016098,0.341802,0.23831,0.11473,0.411736,0.306234,0.127357,0.615564,6.11976,4.193057,8.644273,9129.208417,107.88021,26919.914023,0.0,0.0,0.0,0.089542,0.046097,0.166437,0.016648,0.00664,0.027594,0.166316,0.086091,0.268762,0.166316,0.09299,0.270377
strict_known_only,exact_offset_passkey,phasewrap_adapter,5,0,0.0,2.4,-3.8,1.0,4.05741,3.460745,4.654075,71.213586,35.966654,106.851138,0.0,0.0,0.0,0.115887,0.103803,0.127009,0.032595,0.022706,0.04244,0.208507,0.138729,0.26107,0.208507,0.137991,0.26107,3.583275,2.331307,4.683325,75.835396,20.305359,136.260736,0.3,0.0,0.7,0.367488,0.077385,0.7365,0.135397,0.01698,0.341802,0.23831,0.11473,0.419334,0.306234,0.127357,0.61048,6.11976,4.193057,8.59325,9129.208417,108.058022,26957.869576,0.0,0.0,0.0,0.089542,0.044845,0.165811,0.016648,0.006812,0.027594,0.166316,0.098532,0.268762,0.166316,0.09299,0.270377
strict_known_only,tiny_text_fact_qa,no_position,5,0,0.0,24.0,0.0,1.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.663398,0.0,1.326795,2.732176,1.0,4.781704,0.8,0.6,1.0,0.820238,0.627381,1.0,0.807692,0.612821,1.0,0.810256,0.620513,1.0,0.010256,0.0,0.020513,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
strict_known_only,tiny_text_fact_qa,sinusoidal,5,0,4.8,20.0,0.0,1.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.00823,0.0,0.017951,1.008318,1.0,1.019679,1.0,1.0,1.0,1.0,1.0,1.0,0.991942,0.982454,1.0,0.991942,0.982454,1.0,0.008058,0.0,0.017546,1e-06,0.0,3e-06,1.000001,1.0,1.000003,1.0,1.0,1.0,1.0,1.0,1.0,0.999999,0.999997,1.0,0.999999,0.999997,1.0,1e-06,0.0,3e-06
strict_known_only,tiny_text_fact_qa,alibi,5,0,0.3,24.0,0.0,1.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.669643,0.0,1.435202,2.795248,1.0,5.107034,0.8,0.6,1.0,0.828704,0.636111,1.0,0.807853,0.615707,1.0,0.812656,0.624218,1.0,0.012656,0.0,0.026404,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
strict_known_only,tiny_text_fact_qa,rope_relative,5,0,4.8,22.4,0.0,1.0,0.156775,0.0,0.470324,1.237988,1.0,1.713963,0.95,0.85,1.0,0.952778,0.858333,1.0,0.952174,0.856522,1.0,0.954348,0.863043,1.0,0.004348,0.0,0.013043,0.232333,0.0,0.46723,1.315025,1.0,1.634633,1.0,1.0,1.0,1.0,1.0,1.0,0.862598,0.724394,1.0,0.862598,0.724394,1.0,0.137402,0.0,0.275606,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
strict_known_only,tiny_text_fact_qa,phasewrap_bias,5,0,3.2,24.0,0.0,1.0,0.16675,0.004909,0.475233,1.248088,1.004969,1.719094,0.95,0.85,1.0,0.952778,0.858333,1.0,0.942328,0.851525,0.995151,0.944502,0.853197,0.995151,0.014194,0.004348,0.02404,2.249969,0.0,6.310403,7391.140313,1.0,22170.988824,0.9,0.7,1.0,0.904545,0.713636,1.0,0.816783,0.585628,1.0,0.83476,0.657535,1.0,0.101194,0.0,0.260442,0.021324,0.0,0.042649,1.021903,1.0,1.043806,1.0,1.0,1.0,1.0,1.0,1.0,0.979245,0.95808,1.0,0.979245,0.95808,1.0,0.020755,0.0,0.04192
