task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_expected_calibration_error
exact_offset_passkey,311,alibi,alibi,180,0.03,full_batch_adam,4,2,4,4.3e-05,4.3e-05,1.000043,1.0,1.0,0.999957,4.3e-05,24.62892,49682574013.69183,0.0,0.035131,0.0,0.980057,23.152938,11355154393.209906,0.0,0.026788,0.0,0.943903
exact_offset_passkey,311,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,4.2e-05,4.2e-05,1.000042,1.0,1.0,0.999958,4.2e-05,24.68136,52357467045.3658,0.0,0.035131,0.0,0.979407,23.118357,10969194486.429579,0.0,0.026583,0.0,0.941153
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,4.1e-05,4.1e-05,1.000041,1.0,1.0,0.999959,4.1e-05,25.263675,93729121741.44357,0.0,0.036874,0.0,0.988505,23.059081,10337882790.396091,0.0,0.027502,0.0,0.900867
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,4.1e-05,4.1e-05,1.000041,1.0,1.0,0.999959,4.1e-05,25.210836,88905165516.11789,0.0,0.036874,0.0,0.988143,23.104162,10814590192.985432,0.0,0.027502,0.0,0.897417
exact_offset_passkey,313,no_position,no_position,180,0.03,full_batch_adam,4,2,4,3.2e-05,3.2e-05,1.000032,1.0,1.0,0.999968,3.2e-05,26.991727,527664832053.958,0.0,0.008372,0.0,0.837243,23.365555,14045315533.146008,0.0,0.020014,0.0,0.858209
exact_offset_passkey,313,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,6.5e-05,6.4e-05,1.000064,1.0,1.0,0.999936,6.4e-05,25.859111,170007956841.85403,0.0,0.010994,0.0,0.883565,20.122352,548310319.398122,0.0,0.023032,0.0,0.829357
exact_offset_passkey,313,alibi,alibi,180,0.03,full_batch_adam,4,2,4,2.9e-05,2.9e-05,1.000029,1.0,1.0,0.999971,2.9e-05,26.52508,330899182095.3719,0.0,0.008406,0.0,0.861561,23.54168,16750270654.140005,0.0,0.01971,0.0,0.871825
exact_offset_passkey,313,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,3.5e-05,3.5e-05,1.000035,1.0,1.0,0.999965,3.5e-05,27.154808,621131254107.5275,0.0,0.008372,0.0,0.857433,23.395478,14471950713.345531,0.0,0.020037,0.0,0.867153
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,5e-05,4.9e-05,1.000049,1.0,1.0,0.999951,4.9e-05,20.415129,734815093.925152,0.0,0.008372,0.0,0.587833,22.172795,4261108390.251136,0.0,0.019296,0.0,0.891909
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,5.1e-05,5.1e-05,1.000051,1.0,1.0,0.999949,5.1e-05,20.139583,557840064.727422,0.0,0.008406,0.0,0.630737,22.044458,3747885577.018737,0.0,0.019583,0.0,0.89012
exact_offset_passkey,317,no_position,no_position,180,0.03,full_batch_adam,4,2,4,3.6e-05,3.6e-05,1.000036,1.0,1.0,0.999964,3.6e-05,27.631021,999999999999.999,0.0,0.036868,0.0,0.99944,18.247332,84084434.508592,0.0,0.134825,0.004775,0.917241
exact_offset_passkey,317,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,7.1e-05,7.1e-05,1.000071,1.0,1.0,0.999929,7.1e-05,27.631021,999999999999.999,0.0,0.011112,0.0,0.999528,18.952195,170150675.702008,0.0,0.134825,0.002986,0.938899
exact_offset_passkey,317,alibi,alibi,180,0.03,full_batch_adam,4,2,4,5.3e-05,5.2e-05,1.000052,1.0,1.0,0.999948,5.2e-05,24.617016,49094675479.11705,0.0,0.012864,0.0,0.986896,18.839476,152012869.402187,0.0,0.134825,0.002269,0.944957
exact_offset_passkey,317,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,3.7e-05,3.7e-05,1.000037,1.0,1.0,0.999963,3.7e-05,27.631021,999999999999.999,0.0,0.036868,0.0,0.999481,18.288721,87637646.387496,0.0,0.134825,0.004362,0.919709
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,1.3e-05,1.3e-05,1.000013,1.0,1.0,0.999987,1.3e-05,27.631021,999999999999.999,0.0,0.036868,0.0,0.999686,18.416234,99556340.291672,0.0,0.134754,0.001935,0.947902
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,1.5e-05,1.5e-05,1.000015,1.0,1.0,0.999985,1.5e-05,27.631021,999999999999.999,0.0,0.036868,0.0,0.999735,18.478527,105955169.726027,0.0,0.134775,0.001618,0.951434
exact_offset_passkey,331,no_position,no_position,180,0.03,full_batch_adam,4,2,4,0.346704,0.3467,1.414392,0.75,0.875,0.74992,0.00346,18.72042,134950693.355957,0.0,0.022817,2.7e-05,0.744004,13.329485,615066.137123,0.0,0.012355,0.000195,0.521478
exact_offset_passkey,331,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,9.5e-05,9.5e-05,1.000095,1.0,1.0,0.999905,9.5e-05,18.106465,73036121.474577,0.0,0.023317,9.4e-05,0.779544,12.79526,360504.759425,0.0,0.01251,0.000735,0.715488
exact_offset_passkey,331,alibi,alibi,180,0.03,full_batch_adam,4,2,4,0.346891,0.347047,1.414883,0.75,0.875,0.749968,0.010527,19.774239,387117717.919967,0.0,0.025658,3e-06,0.887434,13.976901,1175143.710931,0.0,0.011617,9e-05,0.70779
exact_offset_passkey,331,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,0.000152,0.00015,1.00015,1.0,1.0,0.99985,0.00015,18.200007,80197834.742603,0.0,0.022285,7.8e-05,0.79727,12.486633,264774.367934,0.0,0.012551,0.001114,0.659208
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,0.00022,0.000219,1.000219,1.0,1.0,0.999781,0.000219,13.401435,660950.693635,0.0,0.042105,0.003734,0.354443,12.087089,177564.529484,0.0,0.015211,9.3e-05,0.684049
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,0.000224,0.000222,1.000223,1.0,1.0,0.999778,0.000222,13.411046,667334.16249,0.0,0.029308,0.003954,0.281708,12.392101,240891.211124,0.0,0.01513,6.5e-05,0.686345
tiny_text_fact_qa,307,no_position,no_position,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.986283,7.288392,0.5,0.75,0.509412,0.490587,1.57217,4.81709,0.75,0.875,0.672459,0.327541
tiny_text_fact_qa,307,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.999925,7.388501,0.5,0.75,0.509159,0.490841,1.994098,7.345574,0.5,0.75,0.53547,0.464529
tiny_text_fact_qa,307,alibi,alibi,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.028262,7.600868,0.5,0.75,0.508654,0.491345,1.939862,6.957789,0.5,0.75,0.535041,0.464959
tiny_text_fact_qa,307,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.927621,6.87314,0.5,0.75,0.510584,0.489416,1.547889,4.701534,0.75,0.875,0.694084,0.305915
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,1e-06,1e-06,1.000001,1.0,1.0,0.999999,1e-06,3.312799,27.461878,0.5,0.75,0.500663,0.499337,3.51298,33.548108,0.75,0.875,0.744884,0.244883
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,1e-06,1e-06,1.000001,1.0,1.0,0.999999,1e-06,3.116434,22.565763,0.5,0.75,0.500981,0.499018,3.464325,31.954878,0.75,0.875,0.741806,0.241805
tiny_text_fact_qa,311,no_position,no_position,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.468305,1751.635117,0.5,0.75,0.5,0.5,3.783995,43.991437,0.75,0.875,0.749999,0.249999
tiny_text_fact_qa,311,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.709025,40.813989,0.75,0.875,0.75,0.25
tiny_text_fact_qa,311,alibi,alibi,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.590949,1980.190953,0.5,0.75,0.5,0.5,0.422033,1.525059,0.75,0.875,0.796216,0.203784
tiny_text_fact_qa,311,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.430773,1687.111318,0.5,0.75,0.5,0.5,3.770193,43.38843,0.75,0.875,0.749999,0.249999
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.489863,1789.806325,0.5,0.75,0.5,0.499999,7.420272,1669.487041,0.5,0.75,0.5,0.5
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,7.481526,1774.947671,0.5,0.75,0.5,0.499999,7.411658,1655.167633,0.5,0.75,0.5,0.5
tiny_text_fact_qa,313,no_position,no_position,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.926601,137.909906,0.5,0.75,0.500026,0.499974,7.578488,1955.670369,0.5,0.75,0.5,0.5
tiny_text_fact_qa,313,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.670425,14.446112,0.5,0.75,0.502396,0.497604,7.600978,2000.151888,0.5,0.75,0.5,0.5
tiny_text_fact_qa,313,alibi,alibi,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,8.095717,3280.388238,0.5,0.75,0.499999,0.499999,7.598518,1995.237281,0.5,0.75,0.5,0.5
tiny_text_fact_qa,313,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.996481,54.406339,0.5,0.75,0.500169,0.499831,7.578909,1956.49392,0.5,0.75,0.5,0.5
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.000777,1.000777,1.0,1.0,0.999224,0.000776,7.687931,2181.856511,0.5,0.75,0.5,0.5
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.001006,1.001006,1.0,1.0,0.998995,0.001005,7.73397,2284.653319,0.5,0.75,0.5,0.5
tiny_text_fact_qa,317,no_position,no_position,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,13.077335,477984.999043,0.5,0.75,0.5,0.5,13.077335,477984.999043,0.5,0.75,0.5,0.5
tiny_text_fact_qa,317,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,12.866361,387069.950535,0.5,0.75,0.5,0.5,12.866361,387069.950535,0.5,0.75,0.5,0.5
tiny_text_fact_qa,317,alibi,alibi,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,13.10765,492696.950779,0.5,0.75,0.5,0.5,13.10765,492696.950779,0.5,0.75,0.5,0.5
tiny_text_fact_qa,317,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,13.046748,463586.35574,0.5,0.75,0.5,0.5,13.046748,463586.35574,0.5,0.75,0.5,0.5
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,11.120274,67526.419304,0.5,0.75,0.5,0.5,10.095695,24238.445466,0.5,0.75,0.5,0.5
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,11.265244,78060.86697,0.5,0.75,0.5,0.5,10.189609,26625.072968,0.5,0.75,0.5,0.5
tiny_text_fact_qa,331,no_position,no_position,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.305369,201.415392,0.0,0.007843,0.004968,0.007973,5.134289,169.743577,0.0,0.007859,0.006029,0.007916
tiny_text_fact_qa,331,sinusoidal,sinusoidal,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.303679,201.075186,0.0,0.007843,0.004974,0.007974,5.136423,170.106183,0.0,0.007859,0.006104,0.007917
tiny_text_fact_qa,331,alibi,alibi,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.302376,200.813385,0.0,0.007843,0.004986,0.007972,5.123205,167.872476,0.0,0.007859,0.006078,0.007915
tiny_text_fact_qa,331,rope_relative,rope,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.300459,200.428778,0.0,0.007843,0.004993,0.007971,5.126809,168.478596,0.0,0.007859,0.006072,0.007913
tiny_text_fact_qa,331,phasewrap_bias,phasewrap_bias,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.265636,193.569434,0.0,0.007812,0.005168,0.007956,5.153412,173.020793,0.0,0.007843,0.005962,0.007922
tiny_text_fact_qa,331,phasewrap_adapter,phasewrap_adapter,180,0.03,full_batch_adam,4,2,4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,5.266919,193.817863,0.0,0.007812,0.005161,0.007956,5.154509,173.210753,0.0,0.007843,0.005955,0.007922
