task,seed,method,stage10_method_alias,epochs,train_row_count,validation_loss,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_target_probability_mae,test_mean_top1_confidence,test_expected_calibration_error,final_training_loss
phase_cued_retrieval,313,alibi,alibi,60,8,4.852013,4.852014,127.997878,0.0,0.066683,0.007813,0.992187,0.007814,0.007814,4.851982
phase_cued_retrieval,313,rope_relative,rope,60,8,4.852013,4.852013,127.997824,0.0,0.072474,0.007813,0.992187,0.007814,0.007814,4.851982
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,60,8,4.852014,4.852013,127.997809,0.0,0.061695,0.007813,0.992187,0.007814,0.007814,4.851982
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,60,8,4.852014,4.852013,127.997821,0.0,0.062103,0.007813,0.992187,0.007814,0.007814,4.851982
phase_cued_retrieval,317,no_position,no_position,60,8,4.852059,4.852063,128.004145,0.0,0.017036,0.007812,0.992188,0.007814,0.007814,4.852001
phase_cued_retrieval,317,sinusoidal,sinusoidal,60,8,4.852058,4.852062,128.004001,0.0,0.017135,0.007812,0.992188,0.007814,0.007814,4.852
phase_cued_retrieval,317,alibi,alibi,60,8,4.852059,4.852062,128.004114,0.0,0.017157,0.007812,0.992188,0.007814,0.007814,4.852001
phase_cued_retrieval,317,rope_relative,rope,60,8,4.852059,4.852062,128.004104,0.0,0.017069,0.007812,0.992188,0.007814,0.007814,4.852001
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,60,8,4.852058,4.852061,128.003937,0.0,0.016233,0.007812,0.992188,0.007814,0.007814,4.852003
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,60,8,4.852058,4.852061,128.003921,0.0,0.01635,0.007812,0.992188,0.007814,0.007814,4.852003
phase_cued_retrieval,331,no_position,no_position,60,8,4.852066,4.852031,128.000033,0.0,0.023231,0.007812,0.992188,0.007814,0.007814,4.851953
phase_cued_retrieval,331,sinusoidal,sinusoidal,60,8,4.852066,4.852031,128.000034,0.0,0.023111,0.007812,0.992188,0.007814,0.007814,4.851953
phase_cued_retrieval,331,alibi,alibi,60,8,4.852066,4.85203,128.000025,0.0,0.023231,0.007812,0.992188,0.007814,0.007814,4.851953
phase_cued_retrieval,331,rope_relative,rope,60,8,4.852066,4.85203,128.000028,0.0,0.023231,0.007812,0.992188,0.007814,0.007814,4.851953
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,60,8,4.852066,4.852031,128.000095,0.0,0.022828,0.007812,0.992188,0.007814,0.007814,4.851953
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,60,8,4.852066,4.852031,128.000094,0.0,0.022828,0.007812,0.992188,0.007814,0.007814,4.851953
exact_offset_passkey,307,no_position,no_position,60,8,4.852027,4.852014,127.997958,0.0,0.02794,0.007813,0.992187,0.007814,0.007814,4.851936
exact_offset_passkey,307,sinusoidal,sinusoidal,60,8,4.852024,4.852014,127.99786,0.0,0.028037,0.007813,0.992187,0.007814,0.007814,4.851936
exact_offset_passkey,307,alibi,alibi,60,8,4.852026,4.852014,127.997945,0.0,0.027058,0.007813,0.992187,0.007814,0.007814,4.851937
exact_offset_passkey,307,rope_relative,rope,60,8,4.852026,4.852014,127.997923,0.0,0.028081,0.007813,0.992187,0.007814,0.007814,4.851936
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,60,8,4.852025,4.852016,127.99813,0.0,0.03083,0.007813,0.992187,0.007814,0.007814,4.85194
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,60,8,4.852025,4.852016,127.998114,0.0,0.03083,0.007813,0.992187,0.007814,0.007814,4.851941
exact_offset_passkey,311,no_position,no_position,60,8,4.851994,4.852035,128.000545,0.125,0.146655,0.007812,0.992188,0.007814,0.117186,4.85196
exact_offset_passkey,311,sinusoidal,sinusoidal,60,8,4.851994,4.852034,128.000541,0.125,0.146655,0.007812,0.992188,0.007814,0.117186,4.85196
exact_offset_passkey,311,alibi,alibi,60,8,4.851994,4.852035,128.000545,0.125,0.146655,0.007812,0.992188,0.007814,0.117186,4.85196
exact_offset_passkey,311,rope_relative,rope,60,8,4.851994,4.852035,128.000547,0.125,0.146634,0.007812,0.992188,0.007814,0.117186,4.85196
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,60,8,4.851994,4.852035,128.000561,0.125,0.146597,0.007812,0.992188,0.007814,0.117186,4.85196
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,60,8,4.851994,4.852035,128.000563,0.125,0.146597,0.007812,0.992188,0.007814,0.117186,4.85196
exact_offset_passkey,313,no_position,no_position,60,8,4.852038,4.852031,128.000081,0.0,0.028236,0.007812,0.992188,0.007814,0.007814,4.852007
exact_offset_passkey,313,sinusoidal,sinusoidal,60,8,4.852037,4.852032,128.000163,0.0,0.028058,0.007812,0.992188,0.007814,0.007814,4.852007
exact_offset_passkey,313,alibi,alibi,60,8,4.852038,4.85203,128.000027,0.0,0.026858,0.007812,0.992188,0.007814,0.007814,4.852007
exact_offset_passkey,313,rope_relative,rope,60,8,4.852038,4.852031,128.000097,0.0,0.028155,0.007812,0.992188,0.007814,0.007814,4.852007
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,60,8,4.852038,4.852031,128.000036,0.0,0.028165,0.007812,0.992188,0.007814,0.007814,4.852007
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,60,8,4.852038,4.852031,128.000053,0.0,0.028165,0.007812,0.992188,0.007814,0.007814,4.852007
exact_offset_passkey,317,no_position,no_position,60,8,4.851965,4.852018,127.998455,0.0,0.026486,0.007813,0.992187,0.007815,0.007815,4.85185
exact_offset_passkey,317,sinusoidal,sinusoidal,60,8,4.851965,4.852018,127.998476,0.0,0.026576,0.007813,0.992187,0.007815,0.007815,4.851849
exact_offset_passkey,317,alibi,alibi,60,8,4.851963,4.852018,127.998439,0.0,0.026606,0.007813,0.992187,0.007815,0.007815,4.85185
exact_offset_passkey,317,rope_relative,rope,60,8,4.851966,4.852018,127.998442,0.0,0.026531,0.007813,0.992187,0.007815,0.007815,4.85185
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,60,8,4.851972,4.852017,127.99828,0.0,0.026563,0.007813,0.992187,0.007815,0.007815,4.851852
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,60,8,4.851973,4.852017,127.998265,0.0,0.026624,0.007813,0.992187,0.007815,0.007815,4.851852
exact_offset_passkey,331,no_position,no_position,60,8,4.85205,4.85201,127.99745,0.0,0.029776,0.007813,0.992187,0.007814,0.007814,4.851924
exact_offset_passkey,331,sinusoidal,sinusoidal,60,8,4.85205,4.85201,127.997465,0.0,0.029731,0.007813,0.992187,0.007814,0.007814,4.851924
exact_offset_passkey,331,alibi,alibi,60,8,4.85205,4.85201,127.997451,0.0,0.029776,0.007813,0.992187,0.007814,0.007814,4.851924
exact_offset_passkey,331,rope_relative,rope,60,8,4.85205,4.85201,127.997455,0.0,0.029776,0.007813,0.992187,0.007814,0.007814,4.851924
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,60,8,4.85205,4.85201,127.99745,0.0,0.029776,0.007813,0.992187,0.007814,0.007814,4.851925
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,60,8,4.85205,4.85201,127.99745,0.0,0.029776,0.007813,0.992187,0.007814,0.007814,4.851925
tiny_text_fact_qa,307,no_position,no_position,60,8,4.851954,4.851993,127.995288,0.0,0.029636,0.007813,0.992187,0.007814,0.007814,4.851854
tiny_text_fact_qa,307,sinusoidal,sinusoidal,60,8,4.851955,4.851994,127.995318,0.0,0.029575,0.007813,0.992187,0.007814,0.007814,4.851855
tiny_text_fact_qa,307,alibi,alibi,60,8,4.851954,4.851995,127.995445,0.0,0.028575,0.007813,0.992187,0.007814,0.007814,4.851857
tiny_text_fact_qa,307,rope_relative,rope,60,8,4.851955,4.851994,127.995317,0.0,0.029701,0.007813,0.992187,0.007814,0.007814,4.851855
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,60,8,4.851958,4.851994,127.995327,0.0,0.030217,0.007813,0.992187,0.007814,0.007814,4.851855
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,60,8,4.851958,4.851994,127.995336,0.0,0.030306,0.007813,0.992187,0.007814,0.007814,4.851855
tiny_text_fact_qa,311,no_position,no_position,60,8,4.852001,4.851983,127.993971,0.0,0.055254,0.007813,0.992187,0.007814,0.007814,4.851957
tiny_text_fact_qa,311,sinusoidal,sinusoidal,60,8,4.852002,4.851983,127.99397,0.0,0.055254,0.007813,0.992187,0.007814,0.007814,4.851957
tiny_text_fact_qa,311,alibi,alibi,60,8,4.852001,4.851983,127.993974,0.0,0.055201,0.007813,0.992187,0.007814,0.007814,4.851957
tiny_text_fact_qa,311,rope_relative,rope,60,8,4.852001,4.851983,127.993974,0.0,0.055254,0.007813,0.992187,0.007814,0.007814,4.851957
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,60,8,4.852002,4.851984,127.994023,0.0,0.055201,0.007813,0.992187,0.007814,0.007814,4.851957
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,60,8,4.852002,4.851984,127.994024,0.0,0.055201,0.007813,0.992187,0.007814,0.007814,4.851957
tiny_text_fact_qa,313,no_position,no_position,60,8,4.851987,4.852025,127.99937,0.0,0.027266,0.007813,0.992187,0.007814,0.007814,4.851948
tiny_text_fact_qa,313,sinusoidal,sinusoidal,60,8,4.851986,4.852025,127.999288,0.0,0.027266,0.007813,0.992187,0.007814,0.007814,4.851947
tiny_text_fact_qa,313,alibi,alibi,60,8,4.851987,4.852025,127.999295,0.0,0.027222,0.007813,0.992187,0.007814,0.007814,4.851948
tiny_text_fact_qa,313,rope_relative,rope,60,8,4.851987,4.852025,127.999357,0.0,0.027266,0.007813,0.992187,0.007814,0.007814,4.851948
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,60,8,4.851989,4.852025,127.999355,0.0,0.027287,0.007813,0.992187,0.007814,0.007814,4.851948
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,60,8,4.851989,4.852025,127.999352,0.0,0.027287,0.007813,0.992187,0.007814,0.007814,4.851948
tiny_text_fact_qa,317,no_position,no_position,60,8,4.851955,4.852004,127.996607,0.0,0.030445,0.007813,0.992187,0.007814,0.007814,4.851922
tiny_text_fact_qa,317,sinusoidal,sinusoidal,60,8,4.851956,4.852004,127.996698,0.0,0.030352,0.007813,0.992187,0.007814,0.007814,4.851924
tiny_text_fact_qa,317,alibi,alibi,60,8,4.851956,4.852005,127.996736,0.0,0.030195,0.007813,0.992187,0.007814,0.007814,4.851922
tiny_text_fact_qa,317,rope_relative,rope,60,8,4.851956,4.852004,127.996614,0.0,0.030371,0.007813,0.992187,0.007814,0.007814,4.851922
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,60,8,4.851956,4.852,127.996067,0.0,0.03091,0.007813,0.992187,0.007814,0.007814,4.851919
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,60,8,4.851956,4.851999,127.996061,0.0,0.03091,0.007813,0.992187,0.007814,0.007814,4.851919
tiny_text_fact_qa,331,no_position,no_position,60,8,4.852009,4.852026,127.99944,0.0,0.02531,0.007813,0.992187,0.007814,0.007814,4.851986
tiny_text_fact_qa,331,sinusoidal,sinusoidal,60,8,4.852008,4.852026,127.99943,0.0,0.025343,0.007813,0.992187,0.007814,0.007814,4.851986
tiny_text_fact_qa,331,alibi,alibi,60,8,4.852009,4.852026,127.999446,0.0,0.02531,0.007813,0.992187,0.007814,0.007814,4.851986
tiny_text_fact_qa,331,rope_relative,rope,60,8,4.852009,4.852026,127.999433,0.0,0.025343,0.007813,0.992187,0.007814,0.007814,4.851986
tiny_text_fact_qa,331,phasewrap_bias,phasewrap_bias,60,8,4.852009,4.852026,127.999464,0.0,0.025199,0.007813,0.992187,0.007814,0.007814,4.851986
tiny_text_fact_qa,331,phasewrap_adapter,phasewrap_adapter,60,8,4.852009,4.852026,127.999463,0.0,0.025343,0.007813,0.992187,0.007814,0.007814,4.851986
