task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.063253,-0.722043,0.922289,0.061686,1.063628,1.0,1.0,0.940784,0.940784,0.059216,0.922289,5.287982,197.943507,0.0,0.059028,0.016942,0.226456,0.226456,0.922289,3.71725,41.151065,0.0,0.090278,0.027108,0.078518,0.078518,0.922289
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.063376,-0.720113,0.922288,0.061797,1.063747,1.0,1.0,0.940681,0.940681,0.059319,0.922288,5.263333,193.124097,0.0,0.069444,0.017771,0.223757,0.223757,0.922288,3.677581,39.550624,0.0,0.100658,0.028276,0.078877,0.078877,0.922288
phase_cued_retrieval,313,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.062258,0.041611,0.921979,0.060924,1.062818,1.0,1.0,0.941485,0.941485,0.058515,0.921979,15.721985,6729319.79148,0.0,0.047778,0.011041,0.406567,0.406567,0.921979,3.724017,41.430493,0.25,0.285552,0.029817,0.089712,0.239321,0.921979
phase_cued_retrieval,313,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.062574,0.731599,0.921568,0.061259,1.063174,1.0,1.0,0.941176,0.941176,0.058824,0.921568,15.624669,6105306.444082,0.0,0.079412,0.013414,0.400043,0.400043,0.921568,3.616732,37.215754,0.0,0.126373,0.030878,0.090423,0.090423,0.921568
phase_cued_retrieval,313,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.062295,0.745308,0.921927,0.060967,1.062864,1.0,1.0,0.941445,0.941445,0.058555,0.921927,15.885898,7927893.593892,0.0,0.044834,0.007955,0.418292,0.418292,0.921927,3.826489,45.901078,0.0,0.162484,0.028234,0.091593,0.091593,0.921927
phase_cued_retrieval,313,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.062358,0.739413,0.921849,0.061031,1.062931,1.0,1.0,0.941387,0.941387,0.058613,0.921849,15.74735,6902193.437606,0.0,0.047149,0.010495,0.408852,0.408852,0.921849,3.781195,43.868432,0.0,0.160131,0.029068,0.088577,0.088577,0.921849
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.062393,-0.624801,0.921814,0.061059,1.062962,1.0,1.0,0.94136,0.94136,0.05864,0.921814,15.607206,5999612.99198,0.0,0.064583,0.013891,0.380082,0.380082,0.921814,3.505299,33.291393,0.0,0.164515,0.037891,0.085604,0.085604,0.921814
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.062393,-0.617547,0.921815,0.061058,1.062961,1.0,1.0,0.941361,0.941361,0.058639,0.921815,15.583577,5859512.70507,0.0,0.072917,0.014563,0.381228,0.381228,0.921815,3.485764,32.647357,0.0,0.168561,0.038257,0.084398,0.084398,0.921815
phase_cued_retrieval,317,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.081185,-0.064019,0.923919,0.079125,1.082339,1.0,1.0,0.923925,0.923925,0.076075,0.923919,5.60482,271.73294,0.0,0.026989,0.011517,0.192135,0.192135,0.923919,4.193321,66.242407,0.0,0.027264,0.015364,0.066368,0.066368,0.923919
phase_cued_retrieval,317,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.080578,0.684897,0.924432,0.078575,1.081745,1.0,1.0,0.924433,0.924433,0.075567,0.924432,5.552645,257.918885,0.0,0.042614,0.012829,0.185381,0.185381,0.924432,3.975117,53.256348,0.0,0.049947,0.018885,0.064873,0.064873,0.924432
phase_cued_retrieval,317,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.081035,-0.818208,0.924032,0.079001,1.082205,1.0,1.0,0.924039,0.924039,0.075961,0.924032,5.413834,224.49059,0.0,0.065359,0.016821,0.163686,0.163686,0.924032,3.955936,52.244594,0.0,0.044434,0.019274,0.066204,0.066204,0.924032
phase_cued_retrieval,317,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.080839,0.69079,0.924219,0.078806,1.081995,1.0,1.0,0.924219,0.924219,0.075781,0.924219,5.620951,276.151805,0.0,0.02803,0.0112,0.18601,0.18601,0.924219,4.294927,73.326881,0.0,0.026011,0.014115,0.065376,0.065376,0.924219
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.080927,-0.756561,0.92412,0.078914,1.082111,1.0,1.0,0.92412,0.92412,0.07588,0.92412,5.447358,232.144083,0.0,0.038889,0.015685,0.259094,0.259094,0.92412,3.93161,50.989023,0.0,0.039727,0.019932,0.070114,0.070114,0.92412
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.080931,-0.750349,0.924118,0.078916,1.082113,1.0,1.0,0.924118,0.924118,0.075882,0.924118,5.426307,227.308171,0.0,0.044444,0.016348,0.25882,0.25882,0.924118,3.885452,48.688963,0.0,0.048115,0.020793,0.070796,0.070796,0.924118
phase_cued_retrieval,331,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.080341,0.009162,0.924587,0.078403,1.081559,1.0,1.0,0.924591,0.924591,0.075409,0.924587,5.681613,293.422263,0.0,0.025263,0.010864,0.486481,0.486481,0.924587,3.60315,36.713713,0.25,0.402857,0.031594,0.046926,0.203074,0.924587
phase_cued_retrieval,331,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.080542,0.71798,0.92439,0.078617,1.081789,1.0,1.0,0.924394,0.924394,0.075606,0.92439,5.613625,274.136177,0.0,0.036301,0.012056,0.493889,0.493889,0.92439,3.411039,30.296705,0.0,0.286616,0.036264,0.054726,0.054726,0.92439
phase_cued_retrieval,331,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.080394,-0.735195,0.924536,0.07846,1.08162,1.0,1.0,0.924539,0.924539,0.075461,0.924536,5.588756,267.402885,0.0,0.036685,0.012924,0.484342,0.484342,0.924536,3.414856,30.41256,0.25,0.337433,0.036967,0.052714,0.197286,0.924536
phase_cued_retrieval,331,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.080389,0.740197,0.92454,0.078455,1.081615,1.0,1.0,0.924544,0.924544,0.075456,0.92454,5.695008,297.379097,0.0,0.021392,0.010513,0.486606,0.486606,0.92454,3.687037,39.926351,0.5,0.510764,0.030964,0.04875,0.45125,0.92454
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.080441,-0.667014,0.924488,0.07851,1.081674,1.0,1.0,0.924493,0.924493,0.075507,0.924488,5.528512,251.768918,0.0,0.030051,0.014567,0.485639,0.485639,0.924488,3.379038,29.34252,0.25,0.353956,0.039446,0.063348,0.186652,0.924488
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.080436,-0.660612,0.924493,0.078504,1.081668,1.0,1.0,0.924498,0.924498,0.075502,0.924493,5.509367,246.994822,0.0,0.038384,0.015117,0.487269,0.487269,0.924493,3.341068,28.249292,0.25,0.362116,0.040522,0.064143,0.185857,0.924493
exact_offset_passkey,307,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.062209,-0.053065,0.922004,0.060832,1.062721,1.0,1.0,0.941569,0.941569,0.058431,0.922004,5.69354,296.942863,0.0,0.023194,0.010138,0.255389,0.255389,0.922004,3.694983,40.244894,0.0,0.130148,0.026966,0.101384,0.101384,0.922004
exact_offset_passkey,307,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.062204,0.672079,0.922052,0.060856,1.062745,1.0,1.0,0.941548,0.941548,0.058452,0.922052,5.367744,214.378685,0.0,0.061508,0.019347,0.247939,0.247939,0.922052,3.206256,24.686493,0.0,0.271825,0.042033,0.096587,0.096587,0.922052
exact_offset_passkey,307,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.062156,0.603123,0.922056,0.060782,1.062667,1.0,1.0,0.941616,0.941616,0.058384,0.922056,5.681031,293.251632,0.0,0.025882,0.010461,0.236345,0.236345,0.922056,3.77156,43.447805,0.0,0.098292,0.02474,0.104579,0.104579,0.922056
exact_offset_passkey,307,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.06221,0.680422,0.922028,0.060843,1.062732,1.0,1.0,0.94156,0.94156,0.05844,0.922028,5.58969,267.652695,0.0,0.02868,0.01244,0.253932,0.253932,0.922028,3.502898,33.211569,0.0,0.209325,0.032029,0.102073,0.102073,0.922028
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.062282,-0.785494,0.921971,0.06093,1.062825,1.0,1.0,0.941479,0.941479,0.058521,0.921971,5.601236,270.760863,0.0,0.02868,0.012352,0.263749,0.263749,0.921971,3.592218,36.31454,0.0,0.112231,0.029927,0.110106,0.110106,0.921971
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.062263,-0.785827,0.921998,0.060908,1.062801,1.0,1.0,0.9415,0.9415,0.0585,0.921998,5.626879,277.793639,0.0,0.02868,0.01174,0.264398,0.264398,0.921998,3.656867,38.739777,0.0,0.106101,0.028182,0.109467,0.109467,0.921998
exact_offset_passkey,311,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.062026,-0.007255,0.92237,0.060719,1.0626,1.0,1.0,0.941674,0.941674,0.058326,0.92237,4.846127,127.246549,0.0,0.25641,0.054093,0.259713,0.259713,0.92237,4.466451,87.047209,0.0,0.118989,0.027171,0.1683,0.1683,0.92237
exact_offset_passkey,311,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.06216,0.70204,0.922071,0.06085,1.062739,1.0,1.0,0.941553,0.941553,0.058447,0.922071,4.687437,108.574584,0.5,0.506329,0.073177,0.260374,0.614602,0.922071,4.117339,61.395668,0.0,0.234375,0.037625,0.160352,0.160352,0.922071
exact_offset_passkey,311,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.062008,0.636422,0.922355,0.060703,1.062583,1.0,1.0,0.941689,0.941689,0.058311,0.922355,4.87504,130.979336,0.0,0.25641,0.051009,0.294301,0.294301,0.922355,4.551177,94.743825,0.0,0.148027,0.025578,0.177268,0.177268,0.922355
exact_offset_passkey,311,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.06204,0.707804,0.922278,0.060727,1.062609,1.0,1.0,0.941666,0.941666,0.058334,0.922278,4.835931,125.955775,0.0,0.256329,0.054983,0.281269,0.281269,0.922278,4.331729,76.075727,0.0,0.172393,0.030834,0.161738,0.161738,0.922278
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.062184,-0.65615,0.922152,0.060882,1.062773,1.0,1.0,0.941524,0.941524,0.058476,0.922152,4.605678,100.050808,0.5,0.506329,0.086802,0.338898,0.665872,0.922152,4.344239,77.033358,0.0,0.160792,0.030255,0.203249,0.203249,0.922152
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.062184,-0.628567,0.922177,0.060884,1.062775,1.0,1.0,0.941522,0.941522,0.058478,0.922177,4.619576,101.450988,0.5,0.506329,0.084524,0.329013,0.660541,0.922177,4.371851,79.190047,0.0,0.159656,0.02952,0.202935,0.202935,0.922177
exact_offset_passkey,313,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.079948,0.041611,0.924373,0.077795,1.080901,1.0,1.0,0.925155,0.925155,0.074845,0.924373,5.566622,261.549149,0.0,0.040301,0.013675,0.487772,0.487772,0.924373,4.711072,111.171226,0.0,0.049559,0.017311,0.122778,0.122778,0.924373
exact_offset_passkey,313,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.079851,0.786965,0.924165,0.07772,1.08082,1.0,1.0,0.925225,0.925225,0.074775,0.924165,5.179411,177.57822,0.0,0.255747,0.027891,0.49046,0.49046,0.924165,4.667551,106.436721,0.0,0.290509,0.032062,0.097071,0.097071,0.924165
exact_offset_passkey,313,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.073913,0.845121,0.924102,0.070395,1.072932,1.0,1.0,0.932127,0.932127,0.067873,0.924102,5.459999,235.097076,0.0,0.055682,0.016146,0.487843,0.487843,0.924102,4.727093,112.966682,0.0,0.059201,0.016747,0.115906,0.115906,0.924102
exact_offset_passkey,313,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.079869,0.802766,0.924327,0.077713,1.080812,1.0,1.0,0.925232,0.925232,0.074768,0.924327,5.434397,229.154642,0.0,0.067262,0.017515,0.487026,0.487026,0.924327,4.631755,102.694084,0.0,0.088259,0.020777,0.113991,0.113991,0.924327
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.080295,-0.651315,0.924409,0.07826,1.081403,1.0,1.0,0.924725,0.924725,0.075275,0.924409,5.457859,234.594563,0.0,0.046053,0.017181,0.494915,0.494915,0.924409,4.632046,102.724002,0.0,0.061004,0.018586,0.118248,0.118248,0.924409
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.080335,-0.637559,0.924406,0.078304,1.081452,1.0,1.0,0.924683,0.924683,0.075317,0.924406,5.482129,240.357793,0.0,0.046053,0.016368,0.495623,0.495623,0.924406,4.662271,105.876242,0.0,0.056968,0.017856,0.120962,0.120962,0.924406
exact_offset_passkey,317,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.061798,-0.064019,0.922524,0.060481,1.062348,1.0,1.0,0.941893,0.941893,0.058107,0.922524,27.631021,999999999999.999,0.0,0.032489,0.0,0.758598,0.758598,0.922524,3.996445,54.404394,0.25,0.274001,0.020525,0.072949,0.177051,0.922524
exact_offset_passkey,317,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.061829,0.633252,0.922475,0.060521,1.06239,1.0,1.0,0.941856,0.941856,0.058144,0.922475,27.631021,999999999999.999,0.0,0.036626,0.0,0.691984,0.691984,0.922475,3.481221,32.49939,0.25,0.322024,0.033196,0.076459,0.173541,0.922475
exact_offset_passkey,317,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.061798,0.65481,0.922522,0.060483,1.06235,1.0,1.0,0.941891,0.941891,0.058109,0.922522,27.631021,999999999999.999,0.0,0.028409,0.0,0.758017,0.758017,0.922522,3.986274,53.853835,0.25,0.274528,0.020781,0.072635,0.177365,0.922522
exact_offset_passkey,317,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.061818,0.645058,0.922496,0.060504,1.062372,1.0,1.0,0.941872,0.941872,0.058128,0.922496,27.631021,999999999999.999,0.0,0.033875,0.0,0.746656,0.746656,0.922496,3.802681,44.821185,0.25,0.283929,0.024615,0.074098,0.175902,0.922496
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.062153,-0.725244,0.92208,0.060843,1.062732,1.0,1.0,0.94156,0.94156,0.05844,0.92208,27.631021,999999999999.999,0.0,0.04,0.0,0.836909,0.836909,0.92208,3.920654,50.433427,0.0,0.050505,0.020866,0.070667,0.070667,0.92208
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.062124,-0.714221,0.922117,0.060813,1.0627,1.0,1.0,0.941588,0.941588,0.058412,0.922117,27.631021,999999999999.999,0.0,0.04,0.0,0.838338,0.838338,0.922117,3.975813,53.293422,0.0,0.048611,0.019756,0.071975,0.071975,0.922117
exact_offset_passkey,331,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.061436,0.009162,0.923059,0.060053,1.061893,1.0,1.0,0.942272,0.942272,0.057728,0.923059,14.094835,1322236.301174,0.0,0.036252,0.012248,0.486098,0.486098,0.923059,7.246687,1403.447847,0.0,0.081918,0.019934,0.272573,0.272573,0.923059
exact_offset_passkey,331,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.061664,0.712956,0.922685,0.060337,1.062195,1.0,1.0,0.942018,0.942018,0.057982,0.922685,15.148146,3791020.460059,0.0,0.108333,0.024183,0.490924,0.490924,0.922685,7.517909,1840.71454,0.25,0.364052,0.034409,0.265598,0.419787,0.922685
exact_offset_passkey,331,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.061373,-0.710197,0.92302,0.060024,1.061862,1.0,1.0,0.942301,0.942301,0.057699,0.92302,14.25092,1545595.900671,0.0,0.029454,0.010233,0.494177,0.494177,0.92302,7.354937,1563.899159,0.0,0.092525,0.019046,0.273719,0.273719,0.92302
exact_offset_passkey,331,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.061454,0.732728,0.922956,0.060105,1.061948,1.0,1.0,0.942229,0.942229,0.057771,0.922956,14.444577,1875859.430209,0.0,0.070975,0.015382,0.487423,0.487423,0.922956,7.297071,1475.970127,0.0,0.1872,0.024142,0.270056,0.270056,0.922956
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.061618,-0.647166,0.922841,0.06025,1.062102,1.0,1.0,0.942094,0.942094,0.057906,0.922841,14.906853,2978268.340152,0.0,0.046795,0.015678,0.496937,0.496937,0.922841,7.657193,2115.81012,0.0,0.055749,0.019813,0.274763,0.274763,0.922841
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.06162,-0.628139,0.922863,0.060243,1.062095,1.0,1.0,0.942099,0.942099,0.057901,0.922863,14.817327,2723222.766858,0.0,0.041808,0.014907,0.497106,0.497106,0.922863,7.636964,2073.438712,0.0,0.051961,0.019065,0.274673,0.274673,0.922863
tiny_text_fact_qa,307,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.080621,-0.053065,0.924404,0.078606,1.081778,1.0,1.0,0.924404,0.924404,0.075596,0.924404,0.078606,1.081778,1.0,1.0,0.924404,0.924404,0.075596,0.924404,0.310245,1.363759,0.75,0.875,0.761925,0.765792,0.219176,0.924404
tiny_text_fact_qa,307,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.080423,0.652703,0.924553,0.078445,1.081604,1.0,1.0,0.924553,0.924553,0.075447,0.924553,0.078445,1.081604,1.0,1.0,0.924553,0.924553,0.075447,0.924553,0.274267,1.315566,1.0,1.0,0.778188,0.778188,0.221812,0.924553
tiny_text_fact_qa,307,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.080648,0.125142,0.924382,0.07863,1.081804,1.0,1.0,0.924382,0.924382,0.075618,0.924382,0.07863,1.081804,1.0,1.0,0.924382,0.924382,0.075618,0.924382,0.308396,1.36124,0.75,0.875,0.762484,0.763746,0.218611,0.924382
tiny_text_fact_qa,307,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.080545,0.66067,0.924464,0.078541,1.081708,1.0,1.0,0.924464,0.924464,0.075536,0.924464,0.078541,1.081708,1.0,1.0,0.924464,0.924464,0.075536,0.924464,0.310089,1.363547,0.75,0.875,0.761215,0.762408,0.219901,0.924464
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.080772,-0.711187,0.92425,0.078772,1.081958,1.0,1.0,0.92425,0.92425,0.07575,0.92425,0.078772,1.081958,1.0,1.0,0.92425,0.92425,0.07575,0.92425,0.384942,1.469529,0.75,0.875,0.725293,0.773824,0.25577,0.92425
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.080824,-0.696711,0.92421,0.078816,1.082005,1.0,1.0,0.92421,0.92421,0.07579,0.92421,0.078816,1.082005,1.0,1.0,0.92421,0.92421,0.07579,0.92421,0.383785,1.46783,0.75,0.875,0.726074,0.77457,0.254979,0.92421
tiny_text_fact_qa,311,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.080344,-0.007255,0.924599,0.078395,1.08155,1.0,1.0,0.924599,0.924599,0.075401,0.924599,0.078399,1.081554,1.0,1.0,0.924596,0.924596,0.075404,0.924599,5.305838,201.50977,0.75,0.751953,0.693444,0.924593,0.174593,0.924599
tiny_text_fact_qa,311,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.080539,0.680068,0.9244,0.07861,1.081783,1.0,1.0,0.9244,0.9244,0.0756,0.9244,0.078611,1.081783,1.0,1.0,0.924399,0.924399,0.075601,0.9244,4.485822,88.749831,0.75,0.751953,0.693299,0.924399,0.174399,0.9244
tiny_text_fact_qa,311,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.080357,0.576336,0.924585,0.07841,1.081566,1.0,1.0,0.924585,0.924585,0.075415,0.924585,0.078414,1.081571,1.0,1.0,0.924581,0.924581,0.075419,0.924585,5.355912,211.857141,0.75,0.751953,0.69343,0.924577,0.174577,0.924585
tiny_text_fact_qa,311,rope_relative,rope,35,0.03,full_batch_adam,4,2,4,0.080397,0.690548,0.924544,0.078455,1.081614,1.0,1.0,0.924544,0.924544,0.075456,0.924544,0.078457,1.081617,1.0,1.0,0.924542,0.924542,0.075458,0.924544,5.057718,157.231227,0.75,0.751953,0.693405,0.924541,0.174541,0.924544
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,35,0.03,full_batch_adam,4,2,4,0.080471,-0.689023,0.924472,0.078533,1.081699,1.0,1.0,0.924472,0.924472,0.075528,0.924472,0.078533,1.081699,1.0,1.0,0.924472,0.924472,0.075528,0.924472,4.437751,84.584476,0.75,0.751953,0.693353,0.924471,0.174471,0.924472
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,35,0.03,full_batch_adam,4,2,4,0.080454,-0.686944,0.924489,0.078515,1.081679,1.0,1.0,0.924489,0.924489,0.075511,0.924489,0.078515,1.081679,1.0,1.0,0.924488,0.924488,0.075512,0.924489,4.467699,87.155982,0.75,0.751953,0.693366,0.924488,0.174488,0.924489
tiny_text_fact_qa,313,no_position,no_position,35,0.03,full_batch_adam,4,2,4,0.080279,0.041611,0.924664,0.078325,1.081474,1.0,1.0,0.924664,0.924664,0.075336,0.924664,0.078354,1.081506,1.0,1.0,0.924637,0.924637,0.075363,0.924664,5.389153,219.017902,0.75,0.751953,0.69349,0.924656,0.174656,0.924664
tiny_text_fact_qa,313,sinusoidal,sinusoidal,35,0.03,full_batch_adam,4,2,4,0.080629,0.719109,0.924319,0.078698,1.081877,1.0,1.0,0.924319,0.924319,0.075681,0.924319,0.078705,1.081885,1.0,1.0,0.924312,0.924312,0.075688,0.924319,4.67624,107.365666,0.75,0.751953,0.693237,0.924317,0.174317,0.924319
tiny_text_fact_qa,313,alibi,alibi,35,0.03,full_batch_adam,4,2,4,0.080281,0.537108,0.924662,0.078326,1.081476,1.0,1.0,0.924662,0.924662,0.075338,0.924662,0.078346,1.081497,1.0,1.0,0.924644,0.924644,0.075356,0.924662,5.368271,214.49161,0.75,0.751953,0.69349,0.924656,0.174656,0.924662
