task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,training_tasks,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
exact_offset_passkey,311,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.222744,0.290797,0.935189,0.073972,1.076776,1.0,1.0,0.928927,0.928927,0.071073,0.935189,13.682274,875258.305581,0.166667,0.178967,0.155785,0.881274,0.714607,0.935189,12.891258,396828.104391,0.0,0.018496,0.000301,0.888674,0.888674,0.935189
tiny_text_fact_qa,311,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.222744,0.290797,0.935189,0.515485,1.67445,0.833333,0.916667,0.787787,0.932931,0.099598,0.935189,6.505218,668.62156,0.333333,0.475,0.313525,0.933288,0.599955,0.935189,2.597997,13.436798,0.5,0.680556,0.467951,0.877358,0.377358,0.935189
phase_cued_retrieval,311,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.418831,2.682163,0.955631,0.431354,1.53934,0.916667,0.958333,0.721773,0.739475,0.177192,0.955631,16.468105,14190812.662376,0.0,0.04204,0.005847,0.75221,0.75221,0.955631,11.300532,80864.631978,0.0,0.038918,0.001378,0.803873,0.803873,0.955631
exact_offset_passkey,311,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.418831,2.682163,0.955631,0.353992,1.424743,0.916667,0.958333,0.764411,0.765667,0.184678,0.955631,19.930386,452539462.770535,0.0,0.026294,0.0,0.70515,0.70515,0.955631,15.546588,5646737.089452,0.0,0.029886,0.000169,0.837047,0.837047,0.955631
tiny_text_fact_qa,311,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.418831,2.682163,0.955631,0.441295,1.554719,0.916667,0.958333,0.768859,0.844806,0.15154,0.955631,4.730004,113.296069,0.333333,0.541667,0.277889,0.841818,0.62954,0.955631,8.728138,6174.21814,0.166667,0.366934,0.139676,0.893857,0.780982,0.955631
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.214855,0.00423,0.945088,0.05666,1.058296,1.0,1.0,0.944915,0.944915,0.055085,0.945088,11.191591,72518.051298,0.0,0.012516,0.000253,0.934386,0.934386,0.945088,13.424216,676181.021964,0.0,0.023192,0.000222,0.885802,0.885802,0.945088
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.214855,0.00423,0.945088,0.056711,1.05835,1.0,1.0,0.944867,0.944867,0.055133,0.945088,15.528532,5545694.870716,0.0,0.024681,7.3e-05,0.930896,0.930896,0.945088,10.926442,55628.029117,0.0,0.058494,0.025349,0.884453,0.884453,0.945088
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.214855,0.00423,0.945088,0.531087,1.700781,0.833333,0.902778,0.796612,0.906136,0.072802,0.945088,4.28555,72.642517,0.333333,0.572222,0.341327,0.927826,0.594492,0.945088,2.607258,13.561818,0.583333,0.679563,0.542381,0.894828,0.339969,0.945088
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.214758,0.028163,0.944806,0.056293,1.057907,1.0,1.0,0.945264,0.945264,0.054736,0.944806,11.526092,101325.40782,0.0,0.014114,0.000238,0.943483,0.943483,0.944806,12.640495,308814.284172,0.0,0.02482,0.000225,0.876422,0.876422,0.944806
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.214758,0.028163,0.944806,0.05682,1.058466,1.0,1.0,0.944764,0.944764,0.055236,0.944806,15.632871,6155589.513551,0.0,0.023392,2e-06,0.895661,0.895661,0.944806,11.523104,101023.05751,0.0,0.038258,0.00383,0.828367,0.828367,0.944806
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.214758,0.028163,0.944806,0.531028,1.70068,0.833333,0.902778,0.795955,0.92805,0.094717,0.944806,4.828082,124.971072,0.333333,0.544444,0.329666,0.939153,0.60582,0.944806,2.6498,14.151204,0.583333,0.686508,0.53295,0.879111,0.295778,0.944806
phase_cued_retrieval,313,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.030637,1.0,0.965043,0.031641,1.032147,1.0,1.0,0.968957,0.968957,0.031043,0.965043,13.028362,455140.558525,0.0,0.016468,4e-06,0.895804,0.895804,0.965043,12.811919,366560.586424,0.0,0.020351,4e-06,0.919398,0.919398,0.965043
exact_offset_passkey,313,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.030637,1.0,0.965043,0.029672,1.030116,1.0,1.0,0.970831,0.970831,0.029169,0.965043,11.055349,63281.56325,0.0,0.039571,5.2e-05,0.939826,0.939826,0.965043,11.271198,78527.048215,0.0,0.047911,0.000444,0.893988,0.893988,0.965043
tiny_text_fact_qa,313,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.030637,1.0,0.965043,0.030512,1.030982,1.0,1.0,0.96998,0.96998,0.03002,0.965043,3.445963,31.373491,0.333333,0.576389,0.339783,0.905656,0.572322,0.965043,3.246407,25.697849,0.5,0.630724,0.457412,0.862926,0.43954,0.965043
phase_cued_retrieval,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.045158,2.259677,0.961533,0.046763,1.047873,1.0,1.0,0.955071,0.955071,0.044929,0.961533,16.130986,10129733.158099,0.0,0.053233,0.001694,0.77878,0.77878,0.961533,17.172584,28705049.507345,0.0,0.030337,1.5e-05,0.829625,0.829625,0.961533
exact_offset_passkey,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.045158,2.259677,0.961533,0.046393,1.047486,1.0,1.0,0.954929,0.954929,0.045071,0.961533,14.383939,1765490.261943,0.0,0.061986,3e-05,0.87803,0.87803,0.961533,11.494728,98196.72404,0.0,0.103717,0.01539,0.781653,0.781653,0.961533
tiny_text_fact_qa,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.045158,2.259677,0.961533,0.036824,1.037511,1.0,1.0,0.963898,0.963898,0.036102,0.961533,1.615649,5.03115,0.333333,0.597222,0.442312,0.76664,0.464218,0.961533,3.072937,21.605264,0.5,0.619676,0.446284,0.820899,0.431762,0.961533
phase_cued_retrieval,313,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.057556,0.109365,0.964344,0.031235,1.031728,1.0,1.0,0.969298,0.969298,0.030702,0.964344,13.254233,570479.558669,0.0,0.019416,1.1e-05,0.918841,0.918841,0.964344,13.245938,565767.260758,0.0,0.023826,1e-05,0.874121,0.874121,0.964344
exact_offset_passkey,313,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.057556,0.109365,0.964344,0.034918,1.035535,1.0,1.0,0.965724,0.965724,0.034276,0.964344,11.546876,103453.323824,0.0,0.056652,0.001579,0.84595,0.84595,0.964344,11.668319,116811.708051,0.0,0.054303,0.000604,0.926021,0.926021,0.964344
tiny_text_fact_qa,313,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.057556,0.109365,0.964344,0.083799,1.08741,1.0,1.0,0.921368,0.921368,0.078632,0.964344,2.198631,9.012668,0.333333,0.625,0.36419,0.798929,0.512419,0.964344,2.524071,12.4793,0.416667,0.623016,0.428361,0.848063,0.431397,0.964344
phase_cued_retrieval,313,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.031447,2.351031,0.96403,0.028209,1.028611,1.0,1.0,0.972274,0.972274,0.027726,0.96403,13.099259,488580.284511,0.0,0.026615,3e-06,0.857713,0.857713,0.96403,13.421122,674092.12956,0.0,0.018222,2e-06,0.92047,0.92047,0.96403
exact_offset_passkey,313,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.031447,2.351031,0.96403,0.032594,1.033131,1.0,1.0,0.967998,0.967998,0.032002,0.96403,12.776551,353822.623944,0.0,0.053485,4.7e-05,0.894858,0.894858,0.96403,11.329446,83236.870039,0.0,0.089675,0.021369,0.860564,0.860564,0.96403
tiny_text_fact_qa,313,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.031447,2.351031,0.96403,0.031318,1.031813,1.0,1.0,0.969237,0.969237,0.030763,0.96403,3.177765,23.993079,0.166667,0.4375,0.249758,0.702759,0.54809,0.96403,2.245086,9.441226,0.5,0.6875,0.52255,0.844589,0.405325,0.96403
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.023916,-0.1364,0.97146,0.020194,1.020399,1.0,1.0,0.980063,0.980063,0.019937,0.97146,12.480372,263121.645261,0.0,0.026434,1.1e-05,0.851442,0.851442,0.97146,13.530444,751964.236837,0.0,0.016342,3e-06,0.898767,0.898767,0.97146
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.023916,-0.1364,0.97146,0.024365,1.024664,1.0,1.0,0.975972,0.975972,0.024028,0.97146,11.996411,162171.729697,0.0,0.026932,2.1e-05,0.877926,0.877926,0.97146,11.959095,156231.577643,0.0,0.035615,6.5e-05,0.906182,0.906182,0.97146
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.023916,-0.1364,0.97146,0.024917,1.02523,1.0,1.0,0.975425,0.975425,0.024575,0.97146,3.824114,45.792195,0.333333,0.546296,0.353339,0.941071,0.607738,0.97146,3.067593,21.49011,0.5,0.634722,0.476275,0.866387,0.366387,0.97146
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.023947,-0.080458,0.971196,0.019272,1.019459,1.0,1.0,0.980971,0.980971,0.019029,0.971196,12.804553,363870.511191,0.0,0.024088,4e-06,0.900322,0.900322,0.971196,13.933402,1125121.597849,0.0,0.015105,3e-06,0.94853,0.94853,0.971196
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.023947,-0.080458,0.971196,0.025879,1.026217,1.0,1.0,0.974478,0.974478,0.025522,0.971196,12.614083,300764.576181,0.0,0.027968,5.5e-05,0.896381,0.896381,0.971196,12.200955,198979.061523,0.0,0.032565,6.7e-05,0.923543,0.923543,0.971196
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.023947,-0.080458,0.971196,0.025258,1.02558,1.0,1.0,0.975101,0.975101,0.024899,0.971196,5.58418,266.181855,0.333333,0.458995,0.327316,0.97069,0.637356,0.971196,2.828745,16.9242,0.666667,0.739505,0.563156,0.827702,0.221093,0.971196
phase_cued_retrieval,317,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.504262,1.0,0.947169,0.590408,1.804725,0.75,0.847222,0.680489,0.710084,0.06297,0.947169,9.093111,8893.812276,0.0,0.133867,0.069691,0.846366,0.846366,0.947169,11.562706,105104.065798,0.0,0.039169,0.000683,0.880434,0.880434,0.947169
exact_offset_passkey,317,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.504262,1.0,0.947169,0.778289,2.177744,0.666667,0.777778,0.661697,0.788685,0.162094,0.947169,8.523119,5029.715996,0.0,0.084075,0.010499,0.700943,0.700943,0.947169,10.196165,26800.21682,0.083333,0.121245,0.08128,0.815636,0.732302,0.947169
tiny_text_fact_qa,317,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.504262,1.0,0.947169,0.134383,1.143831,1.0,1.0,0.886165,0.886165,0.113835,0.947169,11.952436,155194.694566,0.0,0.135257,9e-06,0.947167,0.947167,0.947169,9.23217,10220.701045,0.25,0.343422,0.222458,0.932832,0.720314,0.947169
phase_cued_retrieval,317,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.168028,2.402973,0.961641,0.238393,1.269208,0.916667,0.958333,0.83229,0.832296,0.121207,0.961641,11.426941,91760.876097,0.0,0.050353,0.000204,0.951531,0.951531,0.961641,9.554778,14111.961826,0.0,0.059961,0.001309,0.847888,0.847888,0.961641
exact_offset_passkey,317,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.168028,2.402973,0.961641,0.19193,1.211585,1.0,1.0,0.833133,0.833133,0.166867,0.961641,7.729519,2274.508158,0.0,0.114444,0.027565,0.790753,0.790753,0.961641,9.588219,14591.852329,0.083333,0.143758,0.089408,0.841904,0.75857,0.961641
