task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,routing_position_weight_norm,routing_support_weight_norm,routing_distance_weight_norm,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
exact_offset_passkey,311,no_position,no_position,12,6,12,7,1.0,0.106661,2.348614,0.841918,0.106661,2.348614,0.841918,2.199454,9.020091,0.416667,0.487185,0.426142,0.593505,0.19566,3.767943,43.290914,0.166667,0.28691,0.133589,0.329522,0.276386,4.16875,64.634596,0.25,0.28605,0.192786,0.48846,0.33227
tiny_text_fact_qa,311,no_position,no_position,12,6,12,7,1.0,0.106661,2.348614,0.841918,0.106661,2.348614,0.841918,0.333762,1.396211,1.0,1.0,0.721746,0.721746,0.278254,0.407776,1.50347,1.0,1.0,0.668615,0.668615,0.331385,0.59493,1.812903,1.0,1.0,0.560464,0.560464,0.439536
phase_cued_retrieval,311,sinusoidal,sinusoidal,12,6,12,7,1.0,0.870225,1.940318,0.816956,0.870225,1.940318,0.816956,0.114186,1.120961,0.916667,0.958333,0.918546,0.932398,0.081401,0.610541,1.841427,0.333333,0.666667,0.600424,0.731308,0.398926,1.092638,2.98213,0.0,0.5,0.345507,0.577457,0.577457
exact_offset_passkey,311,sinusoidal,sinusoidal,12,6,12,7,1.0,0.870225,1.940318,0.816956,0.870225,1.940318,0.816956,0.916327,2.500091,0.666667,0.805556,0.558178,0.674479,0.167171,1.204732,3.335863,0.833333,0.888889,0.373495,0.453758,0.577227,1.647317,5.193028,0.583333,0.729167,0.308057,0.539581,0.48439
tiny_text_fact_qa,311,sinusoidal,sinusoidal,12,6,12,7,1.0,0.870225,1.940318,0.816956,0.870225,1.940318,0.816956,0.152628,1.164891,1.0,1.0,0.859684,0.859684,0.140316,0.17771,1.194478,1.0,1.0,0.837938,0.837938,0.162062,0.321233,1.378827,1.0,1.0,0.736818,0.736818,0.263182
phase_cued_retrieval,311,alibi,alibi,12,6,12,7,1.0,1.155098,2.022584,1.231084,1.155098,2.022584,1.231084,0.07789,1.081004,0.916667,0.958333,0.945293,0.957257,0.054701,1.188213,3.281212,0.333333,0.638889,0.547707,0.783551,0.450218,2.099058,8.158483,0.0,0.5,0.275618,0.677987,0.677987
exact_offset_passkey,311,alibi,alibi,12,6,12,7,1.0,1.155098,2.022584,1.231084,1.155098,2.022584,1.231084,2.193697,8.968309,0.416667,0.487185,0.427307,0.593188,0.19427,3.781799,43.894928,0.166667,0.28691,0.133266,0.33355,0.281043,4.18752,65.859289,0.25,0.28605,0.193594,0.491293,0.335088
tiny_text_fact_qa,311,alibi,alibi,12,6,12,7,1.0,1.155098,2.022584,1.231084,1.155098,2.022584,1.231084,0.323029,1.381306,1.0,1.0,0.729101,0.729101,0.270899,0.395843,1.485636,1.0,1.0,0.676366,0.676366,0.323634,0.578145,1.782729,1.0,1.0,0.569338,0.569338,0.430662
phase_cued_retrieval,311,rope_relative,rope,12,6,12,7,1.0,0.861826,1.98105,0.759164,0.861826,1.98105,0.759164,0.093798,1.098338,0.916667,0.958333,0.93431,0.951211,0.065657,0.718834,2.052039,0.333333,0.666667,0.570206,0.762065,0.429397,1.361018,3.900161,0.0,0.458333,0.297748,0.616851,0.616851
exact_offset_passkey,311,rope_relative,rope,12,6,12,7,1.0,0.861826,1.98105,0.759164,0.861826,1.98105,0.759164,1.681242,5.372227,0.5,0.659028,0.445797,0.556352,0.196891,2.460403,11.709533,0.166667,0.419444,0.204844,0.341036,0.206199,2.555986,12.883994,0.333333,0.505556,0.257061,0.459915,0.285774
tiny_text_fact_qa,311,rope_relative,rope,12,6,12,7,1.0,0.861826,1.98105,0.759164,0.861826,1.98105,0.759164,0.250852,1.28512,1.0,1.0,0.780064,0.780064,0.219936,0.281174,1.324684,1.0,1.0,0.756152,0.756152,0.243848,0.363332,1.438114,1.0,1.0,0.698093,0.698093,0.301907
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,1.058891,2.168216,0.847138,1.058891,2.168216,0.847138,0.08673,1.090602,0.916667,0.958333,0.93958,0.955703,0.060413,1.145417,3.143752,0.333333,0.638889,0.536684,0.792965,0.459631,1.977571,7.225174,0.0,0.5,0.261759,0.689504,0.689504
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,1.058891,2.168216,0.847138,1.058891,2.168216,0.847138,2.149166,8.577705,0.416667,0.499346,0.429688,0.61444,0.215313,3.813748,45.319994,0.166667,0.228042,0.125543,0.335977,0.287588,4.131356,62.26229,0.25,0.29324,0.195754,0.504883,0.347884
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,1.058891,2.168216,0.847138,1.058891,2.168216,0.847138,0.298502,1.347839,1.0,1.0,0.745618,0.745618,0.254382,0.392384,1.480506,1.0,1.0,0.677808,0.677808,0.322192,0.551395,1.735672,1.0,1.0,0.581425,0.581425,0.418575
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,1.067195,2.400639,1.115858,1.067195,2.400639,1.115858,0.081754,1.085189,0.916667,0.958333,0.942769,0.956576,0.057226,1.162137,3.196759,0.333333,0.638889,0.53964,0.790939,0.457605,2.041257,7.700285,0.0,0.5,0.266438,0.686736,0.686736
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,1.067195,2.400639,1.115858,1.067195,2.400639,1.115858,2.173025,8.784821,0.416667,0.492501,0.427008,0.60489,0.207945,3.798564,44.637037,0.166667,0.227269,0.127301,0.329112,0.278807,4.149817,63.422413,0.25,0.290169,0.19274,0.496983,0.341223
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,1.067195,2.400639,1.115858,1.067195,2.400639,1.115858,0.315574,1.371047,1.0,1.0,0.734206,0.734206,0.265794,0.399755,1.49146,1.0,1.0,0.673323,0.673323,0.326677,0.572874,1.773356,1.0,1.0,0.570946,0.570946,0.429054
phase_cued_retrieval,313,no_position,no_position,12,6,12,7,1.0,0.124164,2.120922,1.627854,0.124164,2.120922,1.627854,0.010712,1.010769,1.0,1.0,0.989743,0.989743,0.010257,0.108238,1.114313,1.0,1.0,0.900186,0.900186,0.099814,0.239946,1.271181,1.0,1.0,0.788895,0.788895,0.211105
exact_offset_passkey,313,no_position,no_position,12,6,12,7,1.0,0.124164,2.120922,1.627854,0.124164,2.120922,1.627854,2.765274,15.883396,0.25,0.302681,0.270043,0.322878,0.075287,1.85243,6.375296,0.5,0.574123,0.491289,0.525297,0.075661,3.535133,34.299584,0.25,0.349622,0.254288,0.498741,0.248741
tiny_text_fact_qa,313,no_position,no_position,12,6,12,7,1.0,0.124164,2.120922,1.627854,0.124164,2.120922,1.627854,0.505584,1.657954,0.916667,0.924242,0.707154,0.709565,0.21916,0.37757,1.458735,1.0,1.0,0.687582,0.687582,0.312418,0.485685,1.625288,1.0,1.0,0.618081,0.618081,0.381919
phase_cued_retrieval,313,sinusoidal,sinusoidal,12,6,12,7,1.0,0.554934,2.543485,0.243038,0.554934,2.543485,0.243038,0.063388,1.06544,0.916667,0.958333,0.954593,0.958125,0.045334,0.490393,1.632958,0.333333,0.666667,0.652498,0.675967,0.344437,0.81668,2.262975,0.083333,0.541667,0.450941,0.479925,0.448493
exact_offset_passkey,313,sinusoidal,sinusoidal,12,6,12,7,1.0,0.554934,2.543485,0.243038,0.554934,2.543485,0.243038,0.700229,2.014214,1.0,1.0,0.548503,0.548503,0.451497,0.557763,1.746761,1.0,1.0,0.659423,0.659423,0.340577,1.721565,5.593274,0.583333,0.743056,0.392052,0.600934,0.276816
tiny_text_fact_qa,313,sinusoidal,sinusoidal,12,6,12,7,1.0,0.554934,2.543485,0.243038,0.554934,2.543485,0.243038,0.108133,1.114196,1.0,1.0,0.911144,0.911144,0.088856,0.070225,1.072749,1.0,1.0,0.932248,0.932248,0.067752,0.13497,1.144502,1.0,1.0,0.876001,0.876001,0.123999
phase_cued_retrieval,313,alibi,alibi,12,6,12,7,1.0,0.497871,1.724573,0.482444,0.497871,1.724573,0.482444,0.013284,1.013373,1.0,1.0,0.987508,0.987508,0.012492,0.118006,1.12525,1.0,1.0,0.891993,0.891993,0.108007,0.265656,1.304287,1.0,1.0,0.768827,0.768827,0.231173
exact_offset_passkey,313,alibi,alibi,12,6,12,7,1.0,0.497871,1.724573,0.482444,0.497871,1.724573,0.482444,2.766139,15.897136,0.25,0.300997,0.270005,0.323256,0.075577,1.85342,6.381604,0.5,0.574123,0.492016,0.526211,0.074921,3.543504,34.587912,0.25,0.345456,0.254517,0.499735,0.249735
tiny_text_fact_qa,313,alibi,alibi,12,6,12,7,1.0,0.497871,1.724573,0.482444,0.497871,1.724573,0.482444,0.501474,1.651153,0.916667,0.924242,0.710172,0.712606,0.216174,0.371384,1.449739,1.0,1.0,0.691696,0.691696,0.308304,0.478543,1.613722,1.0,1.0,0.622355,0.622355,0.377645
phase_cued_retrieval,313,rope_relative,rope,12,6,12,7,1.0,2.910328,2.263238,1.427831,2.910328,2.263238,1.427831,0.00692,1.006944,1.0,1.0,0.993294,0.993294,0.006706,0.075861,1.078812,1.0,1.0,0.928411,0.928411,0.071589,0.210437,1.234217,1.0,1.0,0.812257,0.812257,0.187743
exact_offset_passkey,313,rope_relative,rope,12,6,12,7,1.0,2.910328,2.263238,1.427831,2.910328,2.263238,1.427831,1.965048,7.135256,0.416667,0.521991,0.30803,0.325833,0.126753,1.223177,3.397967,0.666667,0.726852,0.539811,0.563681,0.133688,2.28586,9.834142,0.416667,0.540608,0.310609,0.455183,0.212318
tiny_text_fact_qa,313,rope_relative,rope,12,6,12,7,1.0,2.910328,2.263238,1.427831,2.910328,2.263238,1.427831,0.327016,1.386824,0.916667,0.958333,0.791888,0.791916,0.143704,0.201089,1.222733,1.0,1.0,0.818626,0.818626,0.181374,0.236605,1.266941,1.0,1.0,0.790104,0.790104,0.209896
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.661263,2.364344,0.305338,0.661263,2.364344,0.305338,0.066764,1.069043,0.916667,0.958333,0.952615,0.958555,0.047235,0.5069,1.660138,0.333333,0.666667,0.644885,0.684576,0.353802,0.832345,2.298702,0.083333,0.541667,0.444355,0.49895,0.465331
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.661263,2.364344,0.305338,0.661263,2.364344,0.305338,2.40729,11.103831,0.25,0.324027,0.280646,0.347,0.098853,1.901331,6.694802,0.5,0.543056,0.49142,0.629767,0.170953,3.678704,39.595062,0.25,0.335849,0.253489,0.558475,0.308475
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.661263,2.364344,0.305338,0.661263,2.364344,0.305338,0.431321,1.53929,0.916667,0.927083,0.748528,0.758727,0.187876,0.291098,1.337895,1.0,1.0,0.748668,0.748668,0.251332,0.404808,1.499015,1.0,1.0,0.669047,0.669047,0.330953
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.719228,2.193068,1.415954,0.719228,2.193068,1.415954,0.011927,1.011998,1.0,1.0,0.988688,0.988688,0.011312,0.104318,1.109953,1.0,1.0,0.903655,0.903655,0.096345,0.240619,1.272036,1.0,1.0,0.787927,0.787927,0.212073
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.719228,2.193068,1.415954,0.719228,2.193068,1.415954,2.529498,12.547205,0.25,0.322198,0.275992,0.335517,0.087507,1.940225,6.96032,0.5,0.541969,0.486892,0.617297,0.165453,3.732677,41.790848,0.25,0.332489,0.251655,0.547524,0.297524
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.719228,2.193068,1.415954,0.719228,2.193068,1.415954,0.453871,1.574395,0.916667,0.925926,0.735835,0.744809,0.19856,0.313588,1.368325,1.0,1.0,0.732257,0.732257,0.267743,0.428575,1.535069,1.0,1.0,0.653735,0.653735,0.346265
phase_cued_retrieval,317,no_position,no_position,12,6,12,7,1.0,0.150099,2.085984,0.229527,0.150099,2.085984,0.229527,0.119419,1.126842,0.916667,0.958333,0.9143,0.921889,0.008037,0.567378,1.763637,0.333333,0.666667,0.618051,0.713102,0.381026,0.961924,2.616725,0.0,0.5,0.38447,0.52922,0.52922
exact_offset_passkey,317,no_position,no_position,12,6,12,7,1.0,0.150099,2.085984,0.229527,0.150099,2.085984,0.229527,3.247521,25.726481,0.25,0.300382,0.25766,0.471089,0.221089,3.404633,30.103249,0.166667,0.320833,0.178559,0.376571,0.209904,4.207531,67.190439,0.166667,0.251705,0.16234,0.556371,0.389704
tiny_text_fact_qa,317,no_position,no_position,12,6,12,7,1.0,0.150099,2.085984,0.229527,0.150099,2.085984,0.229527,0.459534,1.583336,1.0,1.0,0.632651,0.632651,0.367349,0.601591,1.82502,1.0,1.0,0.548643,0.548643,0.451357,1.039286,2.827197,0.916667,0.920139,0.422484,0.425337,0.500621
phase_cued_retrieval,317,sinusoidal,sinusoidal,12,6,12,7,1.0,0.763464,2.11748,0.700845,0.763464,2.11748,0.700845,0.118531,1.125841,0.916667,0.958333,0.914769,0.921263,0.007035,0.535076,1.707578,0.333333,0.666667,0.631893,0.699248,0.366853,0.897861,2.454348,0.0,0.5,0.409492,0.501248,0.501248
exact_offset_passkey,317,sinusoidal,sinusoidal,12,6,12,7,1.0,0.763464,2.11748,0.700845,0.763464,2.11748,0.700845,0.895861,2.449444,0.833333,0.916667,0.511113,0.619872,0.468087,1.028796,2.797695,0.833333,0.916667,0.41659,0.505475,0.552987,1.53881,4.659042,0.583333,0.763889,0.335563,0.537017,0.38286
tiny_text_fact_qa,317,sinusoidal,sinusoidal,12,6,12,7,1.0,0.763464,2.11748,0.700845,0.763464,2.11748,0.700845,0.156987,1.16998,1.0,1.0,0.854965,0.854965,0.145035,0.201068,1.222708,1.0,1.0,0.818072,0.818072,0.181928,0.397097,1.4875,1.0,1.0,0.687787,0.687787,0.312213
phase_cued_retrieval,317,alibi,alibi,12,6,12,7,1.0,0.293912,1.760353,0.34457,0.293912,1.760353,0.34457,0.117843,1.125068,0.916667,0.958333,0.9151,0.91879,0.003998,0.526483,1.692967,0.333333,0.666667,0.635969,0.695951,0.363443,0.904247,2.470072,0.0,0.5,0.40709,0.509529,0.509529
exact_offset_passkey,317,alibi,alibi,12,6,12,7,1.0,0.293912,1.760353,0.34457,0.293912,1.760353,0.34457,3.243546,25.624418,0.25,0.299751,0.257681,0.470903,0.220903,3.42153,30.616207,0.166667,0.318056,0.178635,0.377775,0.211108,4.229236,68.664728,0.166667,0.252817,0.162249,0.559104,0.392438
tiny_text_fact_qa,317,alibi,alibi,12,6,12,7,1.0,0.293912,1.760353,0.34457,0.293912,1.760353,0.34457,0.456264,1.578167,1.0,1.0,0.634668,0.634668,0.365332,0.599201,1.820664,1.0,1.0,0.54973,0.54973,0.45027,1.036882,2.820409,0.916667,0.920139,0.423342,0.426302,0.49987
phase_cued_retrieval,317,rope_relative,rope,12,6,12,7,1.0,2.407299,1.792713,5.996459,2.407299,1.792713,5.996459,0.07183,1.074473,1.0,1.0,0.941485,0.941485,0.058515,0.523518,1.687956,0.666667,0.833333,0.670189,0.783256,0.249323,1.114027,3.046603,0.166667,0.583333,0.360869,0.638224,0.471558
exact_offset_passkey,317,rope_relative,rope,12,6,12,7,1.0,2.407299,1.792713,5.996459,2.407299,1.792713,5.996459,2.084504,8.040606,0.333333,0.547222,0.29729,0.44262,0.227614,2.172769,8.782571,0.666667,0.791667,0.231494,0.362209,0.558682,2.445015,11.530722,0.333333,0.541667,0.23712,0.449329,0.344044
tiny_text_fact_qa,317,rope_relative,rope,12,6,12,7,1.0,2.407299,1.792713,5.996459,2.407299,1.792713,5.996459,0.299646,1.349381,1.0,1.0,0.741354,0.741354,0.258646,0.347263,1.41519,1.0,1.0,0.707236,0.707236,0.292764,0.593555,1.810413,0.916667,0.958333,0.609993,0.6107,0.321018
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.893724,2.054374,0.155553,0.893724,2.054374,0.155553,0.119292,1.126699,0.916667,0.958333,0.914394,0.922015,0.008056,0.566383,1.761882,0.333333,0.666667,0.618509,0.712881,0.380708,0.959091,2.609323,0.0,0.5,0.385652,0.527057,0.527057
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.893724,2.054374,0.155553,0.893724,2.054374,0.155553,2.988089,19.847708,0.25,0.337401,0.269434,0.478044,0.228044,3.284155,26.686424,0.166667,0.373843,0.192287,0.420299,0.253633,4.275723,71.932157,0.166667,0.267418,0.163593,0.591508,0.424842
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,0.893724,2.054374,0.155553,0.893724,2.054374,0.155553,0.413403,1.511955,1.0,1.0,0.662991,0.662991,0.337009,0.542801,1.72082,1.0,1.0,0.582397,0.582397,0.417603,0.959812,2.611204,0.916667,0.922222,0.449999,0.455682,0.477028
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.97053,2.025929,0.391368,0.97053,2.025929,0.391368,0.119024,1.126397,0.916667,0.958333,0.914579,0.922078,0.007894,0.571577,1.771058,0.333333,0.666667,0.616362,0.715237,0.382901,0.972069,2.643407,0.0,0.5,0.380291,0.535598,0.535598
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.97053,2.025929,0.391368,0.97053,2.025929,0.391368,3.085091,21.869467,0.25,0.320883,0.2655,0.472331,0.222331,3.355151,28.649917,0.166667,0.340741,0.187144,0.409691,0.276833,4.321047,75.267428,0.166667,0.263106,0.161796,0.583613,0.416947
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,0.97053,2.025929,0.391368,0.97053,2.025929,0.391368,0.429258,1.536118,1.0,1.0,0.652461,0.652461,0.347539,0.564958,1.759375,1.0,1.0,0.569351,0.569351,0.430649,0.9842,2.67567,0.916667,0.921569,0.44066,0.445397,0.485126
phase_cued_retrieval,331,no_position,no_position,12,6,12,7,1.0,0.094732,2.043666,0.19929,0.094732,2.043666,0.19929,0.119753,1.127219,0.916667,0.958333,0.914136,0.922115,0.008349,0.684329,1.982442,0.166667,0.583333,0.533154,0.631543,0.465722,0.999104,2.715848,0.0,0.5,0.372497,0.544034,0.544034
exact_offset_passkey,331,no_position,no_position,12,6,12,7,1.0,0.094732,2.043666,0.19929,0.094732,2.043666,0.19929,3.049764,21.110362,0.25,0.33634,0.22127,0.39893,0.237585,3.702629,40.553764,0.333333,0.386988,0.333289,0.660892,0.327559,4.129554,62.150183,0.166667,0.237242,0.105379,0.369728,0.334757
tiny_text_fact_qa,331,no_position,no_position,12,6,12,7,1.0,0.094732,2.043666,0.19929,0.094732,2.043666,0.19929,0.330392,1.391513,1.0,1.0,0.721066,0.721066,0.278934,1.069621,2.914274,0.833333,0.840278,0.518107,0.527285,0.330655,0.779744,2.180913,0.916667,0.933333,0.530011,0.53098,0.394841
phase_cued_retrieval,331,sinusoidal,sinusoidal,12,6,12,7,1.0,0.785047,1.980145,1.557472,0.785047,1.980145,1.557472,0.109359,1.115563,0.916667,0.958333,0.920046,0.926733,0.012007,0.524374,1.689402,0.666667,0.833333,0.612013,0.61803,0.048637,0.73492,2.085316,0.583333,0.791667,0.481313,0.516746,0.205263
exact_offset_passkey,331,sinusoidal,sinusoidal,12,6,12,7,1.0,0.785047,1.980145,1.557472,0.785047,1.980145,1.557472,0.931593,2.538551,0.916667,0.958333,0.494327,0.570678,0.499948,1.437949,4.212049,0.5,0.722222,0.436924,0.723587,0.43195,1.418818,4.132231,0.833333,0.916667,0.309197,0.434058,0.668003
tiny_text_fact_qa,331,sinusoidal,sinusoidal,12,6,12,7,1.0,0.785047,1.980145,1.557472,0.785047,1.980145,1.557472,0.092656,1.097084,1.0,1.0,0.911579,0.911579,0.088421,0.258634,1.29516,1.0,1.0,0.80431,0.80431,0.19569,0.271621,1.31209,1.0,1.0,0.789451,0.789451,0.210549
