task,seed,method,stage10_method_alias,epochs,learning_rate,support_aux_weight,target_attention_aux_weight,teacher_distillation_weight,optimizer,training_tasks,support_classes,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,train_support_accuracy,train_mean_target_attention,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,validation_support_accuracy,validation_mean_target_attention,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate,test_support_accuracy,test_mean_target_attention
exact_offset_passkey,307,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.741515,1.29982,0.85774,2.584692,13.259209,0.583333,0.745833,0.081559,0.086725,0.496609,0.85774,1.0,0.065248,3.132701,22.935841,0.333333,0.464286,0.045193,0.059138,0.274195,0.85774,1.0,0.037615,3.424121,30.69566,0.166667,0.341629,0.034867,0.051773,0.114894,0.85774,1.0,0.029216
tiny_text_fact_qa,307,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.741515,1.29982,0.85774,2.448707,11.573371,0.5,0.736111,0.087989,0.091334,0.408666,0.85774,1.0,0.074481,2.81172,16.638518,0.5,0.722222,0.060598,0.064587,0.435413,0.85774,1.0,0.050926,3.025585,20.606065,0.166667,0.534722,0.049791,0.057118,0.109549,0.85774,1.0,0.038885
phase_cued_retrieval,307,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.04453,0.702766,0.857858,3.499702,33.105601,0.083333,0.183361,0.038763,0.113499,0.043476,0.857858,0.666667,0.022902,3.909043,49.851238,0.0,0.131389,0.026729,0.10007,0.10007,0.857858,0.666667,0.013329,4.260164,70.821597,0.083333,0.12735,0.017672,0.073978,0.045793,0.857858,0.916667,0.009503
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.04453,0.702766,0.857858,3.40908,30.237415,0.083333,0.196308,0.040218,0.117198,0.033864,0.857858,1.0,0.022791,3.989023,54.002116,0.0,0.065238,0.020547,0.099773,0.099773,0.857858,1.0,0.013285,4.188389,65.916522,0.166667,0.200967,0.019913,0.062388,0.104278,0.857858,1.0,0.009606
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.04453,0.702766,0.857858,3.463166,31.917883,0.0,0.102974,0.031892,0.128005,0.128005,0.857858,1.0,0.026599,3.82128,45.662626,0.0,0.072535,0.022583,0.089934,0.089934,0.857858,1.0,0.016922,4.050875,57.447726,0.0,0.058244,0.018317,0.086274,0.086274,0.857858,1.0,0.012348
phase_cued_retrieval,307,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.996042,0.70295,0.857843,3.482509,32.541251,0.083333,0.182091,0.040077,0.1155,0.075461,0.857843,0.666667,0.02373,3.942716,51.558425,0.0,0.12979,0.026045,0.100188,0.100188,0.857843,0.833333,0.013052,4.278775,72.15201,0.083333,0.125988,0.01744,0.073573,0.046844,0.857843,0.916667,0.009152
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.996042,0.70295,0.857843,3.381992,29.429332,0.083333,0.199262,0.041064,0.116159,0.032826,0.857843,1.0,0.023978,3.948209,51.842453,0.0,0.068418,0.021119,0.098016,0.098016,0.857843,1.0,0.014047,4.156257,63.832174,0.083333,0.162001,0.020373,0.062697,0.020637,0.857843,1.0,0.010062
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.996042,0.70295,0.857843,3.489307,32.763234,0.0,0.098741,0.031054,0.12736,0.12736,0.857843,1.0,0.027061,3.830988,46.108084,0.0,0.071841,0.022238,0.087451,0.087451,0.857843,1.0,0.017564,4.05001,57.398013,0.0,0.057578,0.018234,0.083163,0.083163,0.857843,1.0,0.012914
phase_cued_retrieval,311,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.290821,1.0,0.857686,2.946515,19.039484,0.25,0.44127,0.056428,0.078948,0.171052,0.857686,1.0,0.050254,3.748563,42.460026,0.0,0.080175,0.024258,0.049137,0.049137,0.857686,1.0,0.024109,3.781747,43.892662,0.0,0.110527,0.024051,0.050964,0.050964,0.857686,1.0,0.018588
exact_offset_passkey,311,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.290821,1.0,0.857686,2.925842,18.649923,0.25,0.444676,0.056227,0.078389,0.189458,0.857686,1.0,0.047769,3.645005,38.282952,0.0,0.124517,0.027844,0.058481,0.058481,0.857686,1.0,0.026754,4.049679,57.379039,0.0,0.074293,0.018438,0.053622,0.053622,0.857686,1.0,0.017162
tiny_text_fact_qa,311,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.290821,1.0,0.857686,2.992616,19.937762,0.083333,0.293155,0.053508,0.079597,0.143904,0.857686,1.0,0.047178,3.249552,25.778786,0.166667,0.414352,0.041327,0.061337,0.105329,0.857686,1.0,0.029319,3.475919,32.327515,0.166667,0.320994,0.034331,0.051662,0.115005,0.857686,1.0,0.021485
phase_cued_retrieval,311,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.352949,1.299281,0.857815,1.934584,6.921167,1.0,1.0,0.150857,0.150857,0.849143,0.857815,1.0,0.146757,3.248598,25.754205,0.333333,0.4,0.045716,0.081561,0.287325,0.857815,0.666667,0.048598,3.646668,38.346663,0.0,0.121503,0.027873,0.073831,0.073831,0.857815,0.666667,0.024037
exact_offset_passkey,311,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.352949,1.299281,0.857815,1.843542,6.318879,0.833333,0.916667,0.161892,0.162389,0.670944,0.857815,1.0,0.159671,2.500117,12.183916,0.5,0.75,0.084837,0.089609,0.410391,0.857815,1.0,0.092056,3.038494,20.87379,0.166667,0.410516,0.048713,0.06847,0.098196,0.857815,1.0,0.05575
tiny_text_fact_qa,311,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.352949,1.299281,0.857815,2.157214,8.64701,0.75,0.861111,0.119603,0.120574,0.629426,0.857815,1.0,0.131741,2.454301,11.638291,0.833333,0.888889,0.087044,0.091717,0.741617,0.857815,1.0,0.089652,2.698079,14.851178,0.666667,0.819444,0.070449,0.072562,0.594105,0.857815,1.0,0.064893
phase_cued_retrieval,311,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.246415,1.021123,0.857679,2.87275,17.685578,0.166667,0.345536,0.061803,0.085139,0.081528,0.857679,0.916667,0.056393,3.89106,48.962784,0.166667,0.198257,0.023254,0.047759,0.118908,0.857679,0.833333,0.020064,4.076674,58.949091,0.0,0.063973,0.018029,0.057731,0.057731,0.857679,0.666667,0.01314
exact_offset_passkey,311,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.246415,1.021123,0.857679,2.891041,18.012058,0.166667,0.370874,0.060678,0.09258,0.155515,0.857679,1.0,0.050323,3.653864,38.623607,0.0,0.084656,0.02675,0.063947,0.063947,0.857679,1.0,0.02645,4.104623,60.619906,0.0,0.066249,0.017807,0.055729,0.055729,0.857679,1.0,0.017211
tiny_text_fact_qa,311,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.246415,1.021123,0.857679,3.291949,26.895241,0.0,0.124963,0.039781,0.099501,0.099501,0.857679,1.0,0.037003,3.503583,33.234331,0.0,0.131414,0.032292,0.064067,0.064067,0.857679,1.0,0.023066,3.673167,39.37642,0.083333,0.19262,0.029008,0.060797,0.022536,0.857679,1.0,0.018149
phase_cued_retrieval,311,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.659215,1.299792,0.857747,2.567066,13.027542,0.416667,0.658333,0.082264,0.097004,0.319662,0.857747,0.833333,0.072407,3.665664,39.082084,0.166667,0.209815,0.028743,0.051262,0.115405,0.857747,0.666667,0.027454,3.999367,54.563603,0.0,0.058134,0.019083,0.062691,0.062691,0.857747,0.583333,0.015483
exact_offset_passkey,311,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.659215,1.299792,0.857747,2.468117,11.800204,0.75,0.847222,0.088742,0.098961,0.651039,0.857747,1.0,0.07588,3.184974,24.16667,0.166667,0.326389,0.044332,0.07146,0.095206,0.857747,1.0,0.043861,3.725565,41.494688,0.0,0.131048,0.024939,0.06333,0.06333,0.857747,1.0,0.02612
tiny_text_fact_qa,311,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.659215,1.299792,0.857747,2.869624,17.630381,0.166667,0.362599,0.060112,0.086743,0.079924,0.857747,1.0,0.058479,3.124031,22.737862,0.333333,0.500661,0.045327,0.061491,0.271842,0.857747,1.0,0.039037,3.322099,27.718463,0.166667,0.331058,0.03825,0.05348,0.113186,0.857747,1.0,0.029851
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.129803,0.70272,0.857831,3.558197,35.09987,0.0,0.109679,0.031279,0.119911,0.119911,0.857831,0.916667,0.026261,4.397346,81.235006,0.0,0.042432,0.013088,0.087125,0.087125,0.857831,1.0,0.011979,4.319096,75.120651,0.0,0.065565,0.016087,0.073377,0.073377,0.857831,0.916667,0.009224
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.129803,0.70272,0.857831,3.44467,31.332947,0.0,0.107976,0.034383,0.124612,0.124612,0.857831,1.0,0.024852,4.069622,58.534818,0.0,0.094349,0.022789,0.083105,0.083105,0.857831,1.0,0.013741,4.47238,87.564878,0.0,0.048858,0.013789,0.076874,0.076874,0.857831,1.0,0.009319
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.129803,0.70272,0.857831,3.499132,33.086735,0.083333,0.167445,0.03489,0.104874,0.037494,0.857831,1.0,0.022658,3.541332,34.512858,0.0,0.150105,0.035724,0.084879,0.084879,0.857831,1.0,0.015651,3.898648,49.335714,0.0,0.079523,0.023871,0.076742,0.076742,0.857831,1.0,0.010949
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.080748,0.702906,0.857782,3.561973,35.232632,0.0,0.104335,0.030327,0.119664,0.119664,0.857782,0.916667,0.026301,4.403817,81.762387,0.0,0.043378,0.012919,0.085397,0.085397,0.857782,1.0,0.011899,4.337473,76.51391,0.0,0.064918,0.015711,0.071798,0.071798,0.857782,0.916667,0.008866
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.080748,0.702906,0.857782,3.473155,32.238295,0.0,0.107716,0.03314,0.123603,0.123603,0.857782,1.0,0.024809,4.067565,58.414533,0.0,0.081279,0.022346,0.083995,0.083995,0.857782,1.0,0.014242,4.420907,83.171656,0.0,0.050509,0.014339,0.075504,0.075504,0.857782,1.0,0.009868
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.080748,0.702906,0.857782,3.378219,29.318515,0.083333,0.174166,0.038446,0.104303,0.071864,0.857782,1.0,0.024158,3.452484,31.57875,0.0,0.153653,0.037924,0.082475,0.082475,0.857782,1.0,0.016508,3.802664,44.820433,0.0,0.096592,0.025728,0.077093,0.077093,0.857782,1.0,0.011648
phase_cued_retrieval,313,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.484428,1.0,0.857623,3.143346,23.181295,0.083333,0.290608,0.047534,0.081466,0.116262,0.857623,1.0,0.044043,3.566233,35.383041,0.0,0.09776,0.029539,0.062051,0.062051,0.857623,0.833333,0.025485,3.775988,43.640593,0.0,0.119633,0.024574,0.050164,0.050164,0.857623,0.75,0.018195
exact_offset_passkey,313,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.484428,1.0,0.857623,3.096894,22.129112,0.083333,0.32371,0.047112,0.069867,0.013466,0.857623,1.0,0.044563,3.380943,29.398471,0.166667,0.32284,0.036168,0.059559,0.107108,0.857623,1.0,0.027365,3.720747,41.295214,0.083333,0.226855,0.026245,0.050365,0.032968,0.857623,1.0,0.018511
tiny_text_fact_qa,313,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.484428,1.0,0.857623,2.95002,19.10634,0.083333,0.305291,0.054989,0.083811,0.107761,0.857623,1.0,0.044453,3.350932,28.529319,0.166667,0.280754,0.036407,0.060532,0.106135,0.857623,1.0,0.02984,3.625192,37.531937,0.083333,0.192433,0.027964,0.053206,0.030127,0.857623,1.0,0.021552
phase_cued_retrieval,313,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.544892,1.299381,0.857798,2.156527,8.641077,0.833333,0.885417,0.122634,0.130821,0.702512,0.857798,0.833333,0.132131,3.172093,23.857374,0.333333,0.430281,0.047733,0.081023,0.286249,0.857798,0.666667,0.047182,3.461128,31.852874,0.083333,0.207698,0.033563,0.062517,0.020817,0.857798,0.75,0.025465
exact_offset_passkey,313,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.544892,1.299381,0.857798,2.057082,7.823111,1.0,1.0,0.128809,0.128809,0.871191,0.857798,1.0,0.140069,2.393404,10.950703,0.833333,0.916667,0.092915,0.095349,0.737984,0.857798,1.0,0.089798,2.773256,16.010673,0.583333,0.75,0.064975,0.073358,0.509975,0.857798,1.0,0.059785
tiny_text_fact_qa,313,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.544892,1.299381,0.857798,2.008168,7.44966,1.0,1.0,0.136086,0.136086,0.863914,0.857798,1.0,0.133323,2.353376,10.521032,0.833333,0.916667,0.095897,0.097889,0.735445,0.857798,1.0,0.094791,2.691073,14.747494,0.833333,0.916667,0.068483,0.070653,0.762681,0.857798,1.0,0.068406
phase_cued_retrieval,313,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.459554,0.799507,0.857622,3.149605,23.326841,0.083333,0.21315,0.047019,0.083013,0.116377,0.857622,1.0,0.042745,3.663379,38.992886,0.0,0.140327,0.028655,0.064384,0.064384,0.857622,0.5,0.021535,3.954481,52.168591,0.0,0.0845,0.02123,0.051301,0.051301,0.857622,0.583333,0.014395
exact_offset_passkey,313,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.459554,0.799507,0.857622,3.124796,22.755261,0.083333,0.253321,0.045272,0.07486,0.044126,0.857622,1.0,0.042996,3.383639,29.47786,0.166667,0.286111,0.036504,0.062591,0.104076,0.857622,1.0,0.028188,3.658299,38.795285,0.083333,0.220603,0.027377,0.048954,0.034379,0.857622,1.0,0.019862
