example_id,seed,task,sequence_length,reference_delta,target_deltas,target_rule,phasewrap_rope_8_12_first_relevant_rank,phasewrap_rope_8_12_target_probability_mass,rope_relative_first_relevant_rank,rope_relative_target_probability_mass,alibi_first_relevant_rank,alibi_target_probability_mass,sinusoidal_first_relevant_rank,sinusoidal_target_probability_mass,no_position_first_relevant_rank,no_position_target_probability_mass
passkey_exact_seed401_L1024_000,401,passkey_exact,1024,290,290,exact passkey offset chosen by RNG and exposed as the query offset,19,0.00930727,1,0.05578012,9,0.0346965,1,0.07134394,25,0.02820559
multi_needle_seed401_L1024_000,401,multi_needle,1024,135,135,third same-token occurrence in increasing delta order,23,0.00946542,1,0.05151037,3,0.03677336,1,0.06384066,34,0.02601015
aggregation_seed401_L1024_000,401,aggregation,1024,447,447;511,two explicit offsets selected by the aggregation packet generator,17,0.01938665,1,0.07862263,15,0.05501475,1,0.09182646,20,0.0520203
passkey_exact_seed401_L1024_001,401,passkey_exact,1024,351,351,exact passkey offset chosen by RNG and exposed as the query offset,25,0.00864164,1,0.05306077,11,0.03255023,1,0.06492268,23,0.02820559
multi_needle_seed401_L1024_001,401,multi_needle,1024,52,52,third same-token occurrence in increasing delta order,19,0.00940729,1,0.05178603,3,0.03851946,1,0.06475609,34,0.02601015
aggregation_seed401_L1024_001,401,aggregation,1024,712,712;749,two explicit offsets selected by the aggregation packet generator,24,0.01549781,1,0.08220091,24,0.04085286,1,0.09617775,11,0.0520203
passkey_exact_seed401_L1024_002,401,passkey_exact,1024,292,292,exact passkey offset chosen by RNG and exposed as the query offset,21,0.01303896,1,0.05387621,10,0.03414653,1,0.06608913,24,0.02820559
multi_needle_seed401_L1024_002,401,multi_needle,1024,24,24,third same-token occurrence in increasing delta order,20,0.00843458,1,0.05246843,3,0.03883409,1,0.06378437,34,0.02601015
aggregation_seed401_L1024_002,401,aggregation,1024,655,655;778,two explicit offsets selected by the aggregation packet generator,12,0.03754356,1,0.07374569,23,0.04245626,1,0.07338974,9,0.0520203
passkey_exact_seed401_L1024_003,401,passkey_exact,1024,282,282,exact passkey offset chosen by RNG and exposed as the query offset,16,0.01729518,1,0.05388626,9,0.03276628,1,0.0637132,25,0.02820559
multi_needle_seed401_L1024_003,401,multi_needle,1024,262,262,third same-token occurrence in increasing delta order,25,0.00914376,1,0.05106564,3,0.03563205,1,0.06501708,34,0.02601015
aggregation_seed401_L1024_003,401,aggregation,1024,481,481;586,two explicit offsets selected by the aggregation packet generator,17,0.02447694,1,0.07826775,14,0.05158175,1,0.08981687,19,0.0520203
passkey_exact_seed401_L2048_000,401,passkey_exact,2048,963,963,exact passkey offset chosen by RNG and exposed as the query offset,15,0.01314938,1,0.05509449,14,0.02653078,1,0.0669901,20,0.02632119
multi_needle_seed401_L2048_000,401,multi_needle,2048,246,246,third same-token occurrence in increasing delta order,21,0.0073307,1,0.05068603,3,0.03599407,1,0.05850203,34,0.02439931
aggregation_seed401_L2048_000,401,aggregation,2048,2027,2027;2044,two explicit offsets selected by the aggregation packet generator,12,0.02074116,1,0.08851456,34,0.02744383,1,0.09940306,1,0.04879861
passkey_exact_seed401_L2048_001,401,passkey_exact,2048,1624,1624,exact passkey offset chosen by RNG and exposed as the query offset,17,0.00935551,1,0.05419162,27,0.01863888,1,0.06601988,7,0.02632119
multi_needle_seed401_L2048_001,401,multi_needle,2048,151,151,third same-token occurrence in increasing delta order,21,0.00738327,1,0.05181757,3,0.03960553,1,0.06640592,34,0.02439931
aggregation_seed401_L2048_001,401,aggregation,2048,418,418;590,two explicit offsets selected by the aggregation packet generator,1,0.13060494,1,0.07243606,11,0.05777437,1,0.08584627,24,0.04879861
passkey_exact_seed401_L2048_002,401,passkey_exact,2048,1647,1647,exact passkey offset chosen by RNG and exposed as the query offset,14,0.01447766,1,0.05323808,25,0.01905402,1,0.06103396,9,0.02632119
multi_needle_seed401_L2048_002,401,multi_needle,2048,100,100,third same-token occurrence in increasing delta order,24,0.00647315,1,0.05254953,3,0.03638828,1,0.0623723,34,0.02439931
aggregation_seed401_L2048_002,401,aggregation,2048,1913,1913;1993,two explicit offsets selected by the aggregation packet generator,15,0.01810013,1,0.07994393,33,0.03247028,1,0.09110756,1,0.04879861
passkey_exact_seed401_L2048_003,401,passkey_exact,2048,1055,1055,exact passkey offset chosen by RNG and exposed as the query offset,22,0.01011969,1,0.05421222,21,0.02345227,1,0.06633976,13,0.02632119
multi_needle_seed401_L2048_003,401,multi_needle,2048,163,163,third same-token occurrence in increasing delta order,15,0.01025126,1,0.05200654,3,0.03663251,1,0.06432979,34,0.02439931
aggregation_seed401_L2048_003,401,aggregation,2048,892,892;1008,two explicit offsets selected by the aggregation packet generator,7,0.07183669,1,0.0770907,14,0.04953823,1,0.08129001,22,0.04879861
passkey_exact_seed401_L4096_000,401,passkey_exact,4096,3706,3706,exact passkey offset chosen by RNG and exposed as the query offset,20,0.00730271,1,0.05250723,30,0.01431694,1,0.05428534,4,0.02321872
multi_needle_seed401_L4096_000,401,multi_needle,4096,720,720,third same-token occurrence in increasing delta order,19,0.00811365,1,0.0479067,3,0.02925191,1,0.05603876,34,0.02171022
aggregation_seed401_L4096_000,401,aggregation,4096,852,852;1288,two explicit offsets selected by the aggregation packet generator,12,0.05323016,1,0.07442786,6,0.05474135,1,0.07572202,27,0.04342044
passkey_exact_seed401_L4096_001,401,passkey_exact,4096,3485,3485,exact passkey offset chosen by RNG and exposed as the query offset,20,0.00695972,1,0.05145979,26,0.01564127,1,0.05423057,8,0.02321872
multi_needle_seed401_L4096_001,401,multi_needle,4096,568,568,third same-token occurrence in increasing delta order,17,0.00814883,1,0.05127376,3,0.02949688,1,0.05624146,34,0.02171022
aggregation_seed401_L4096_001,401,aggregation,4096,4060,4060;4092,two explicit offsets selected by the aggregation packet generator,20,0.01308807,1,0.0818163,34,0.02738077,1,0.091298,1,0.04342044
passkey_exact_seed401_L4096_002,401,passkey_exact,4096,949,949,exact passkey offset chosen by RNG and exposed as the query offset,17,0.00837053,1,0.05270034,12,0.02773047,1,0.06182842,22,0.02321872
multi_needle_seed401_L4096_002,401,multi_needle,4096,226,226,third same-token occurrence in increasing delta order,24,0.00792264,1,0.04875648,3,0.0323829,1,0.05301568,34,0.02171022
aggregation_seed401_L4096_002,401,aggregation,4096,2207,2207;2304,two explicit offsets selected by the aggregation packet generator,17,0.01473526,1,0.07130061,24,0.03829044,1,0.07594958,11,0.04342044
passkey_exact_seed401_L4096_003,401,passkey_exact,4096,2188,2188,exact passkey offset chosen by RNG and exposed as the query offset,15,0.00855744,1,0.05185769,16,0.02166056,1,0.06279756,18,0.02321872
multi_needle_seed401_L4096_003,401,multi_needle,4096,415,415,third same-token occurrence in increasing delta order,20,0.00630784,1,0.04916852,3,0.0320398,1,0.05620934,34,0.02171022
aggregation_seed401_L4096_003,401,aggregation,4096,2697,2697;2926,two explicit offsets selected by the aggregation packet generator,22,0.01460434,1,0.06568753,18,0.03655826,1,0.06882897,16,0.04342044
passkey_exact_seed409_L512_000,409,passkey_exact,512,140,140,exact passkey offset chosen by RNG and exposed as the query offset,8,0.02907508,1,0.09924919,4,0.06871406,1,0.12586831,14,0.05487118
multi_needle_seed409_L512_000,409,multi_needle,512,43,43,third same-token occurrence in increasing delta order,7,0.01692719,1,0.08995181,3,0.06663842,1,0.10639857,16,0.05202366
aggregation_seed409_L512_000,409,aggregation,512,280,280;326,two explicit offsets selected by the aggregation packet generator,10,0.03209152,1,0.13939885,10,0.08594146,1,0.15391386,8,0.09891419
passkey_exact_seed409_L512_001,409,passkey_exact,512,246,246,exact passkey offset chosen by RNG and exposed as the query offset,9,0.02142626,1,0.1002193,5,0.06261166,1,0.12317395,13,0.05487118
multi_needle_seed409_L512_001,409,multi_needle,512,97,97,third same-token occurrence in increasing delta order,10,0.01369488,1,0.09056389,3,0.0690077,1,0.10681455,16,0.05202366
aggregation_seed409_L512_001,409,aggregation,512,221,221;261,two explicit offsets selected by the aggregation packet generator,8,0.03738864,1,0.1333852,6,0.10292226,1,0.14532655,11,0.09891419
passkey_exact_seed409_L512_002,409,passkey_exact,512,106,106,exact passkey offset chosen by RNG and exposed as the query offset,12,0.0148604,1,0.0913733,4,0.06447185,1,0.10621111,14,0.05487118
multi_needle_seed409_L512_002,409,multi_needle,512,33,33,third same-token occurrence in increasing delta order,11,0.01433608,1,0.08454368,3,0.06887454,1,0.10403667,16,0.05202366
aggregation_seed409_L512_002,409,aggregation,512,112,112;159,two explicit offsets selected by the aggregation packet generator,12,0.0257255,1,0.13445133,3,0.11929551,1,0.16010266,14,0.09891419
passkey_exact_seed409_L512_003,409,passkey_exact,512,353,353,exact passkey offset chosen by RNG and exposed as the query offset,9,0.0185383,1,0.09882976,16,0.03997629,1,0.12190329,2,0.05487118
multi_needle_seed409_L512_003,409,multi_needle,512,119,119,third same-token occurrence in increasing delta order,11,0.01729771,1,0.09231431,3,0.06861838,1,0.11595,16,0.05202366
aggregation_seed409_L512_003,409,aggregation,512,410,410;450,two explicit offsets selected by the aggregation packet generator,7,0.0319361,1,0.13700501,14,0.06813299,1,0.14633127,3,0.09891419
passkey_exact_seed409_L1024_000,409,passkey_exact,1024,511,511,exact passkey offset chosen by RNG and exposed as the query offset,15,0.00890879,1,0.0547357,12,0.02906494,1,0.06816668,22,0.02820559
multi_needle_seed409_L1024_000,409,multi_needle,1024,109,109,third same-token occurrence in increasing delta order,17,0.00871636,1,0.0497552,3,0.03862294,1,0.06364214,34,0.02601015
aggregation_seed409_L1024_000,409,aggregation,1024,318,318;326,two explicit offsets selected by the aggregation packet generator,16,0.01440439,1,0.08383081,12,0.0600572,1,0.09899285,24,0.0520203
passkey_exact_seed409_L1024_001,409,passkey_exact,1024,200,200,exact passkey offset chosen by RNG and exposed as the query offset,17,0.01246647,1,0.05397886,6,0.03703759,1,0.06784619,28,0.02820559
multi_needle_seed409_L1024_001,409,multi_needle,1024,152,152,third same-token occurrence in increasing delta order,21,0.00767007,1,0.05011144,3,0.03781635,1,0.06534847,34,0.02601015
aggregation_seed409_L1024_001,409,aggregation,1024,525,525;616,two explicit offsets selected by the aggregation packet generator,2,0.09291161,1,0.06961505,16,0.04977383,1,0.07980568,17,0.0520203
passkey_exact_seed409_L1024_002,409,passkey_exact,1024,1012,1012,exact passkey offset chosen by RNG and exposed as the query offset,16,0.0085158,1,0.056731,33,0.01600201,1,0.06886911,1,0.02820559
multi_needle_seed409_L1024_002,409,multi_needle,1024,148,148,third same-token occurrence in increasing delta order,17,0.01031175,1,0.04790457,3,0.03675534,1,0.05532481,34,0.02601015
aggregation_seed409_L1024_002,409,aggregation,1024,656,656;699,two explicit offsets selected by the aggregation packet generator,2,0.13707784,1,0.0834245,25,0.04267536,1,0.09647596,11,0.0520203
passkey_exact_seed409_L1024_003,409,passkey_exact,1024,819,819,exact passkey offset chosen by RNG and exposed as the query offset,21,0.00689736,1,0.05249929,27,0.02073706,1,0.06405347,7,0.02820559
multi_needle_seed409_L1024_003,409,multi_needle,1024,37,37,third same-token occurrence in increasing delta order,18,0.0098962,1,0.05018761,3,0.03691162,1,0.05884337,34,0.02601015
aggregation_seed409_L1024_003,409,aggregation,1024,266,266;341,two explicit offsets selected by the aggregation packet generator,14,0.02894739,1,0.07945522,9,0.05890865,1,0.10174007,24,0.0520203
passkey_exact_seed409_L2048_000,409,passkey_exact,2048,1683,1683,exact passkey offset chosen by RNG and exposed as the query offset,21,0.00975602,1,0.05579506,29,0.0173771,1,0.06963011,5,0.02632119
multi_needle_seed409_L2048_000,409,multi_needle,2048,304,304,third same-token occurrence in increasing delta order,20,0.01143266,1,0.05219806,3,0.03407091,1,0.06502512,34,0.02439931
aggregation_seed409_L2048_000,409,aggregation,2048,1449,1449;1606,two explicit offsets selected by the aggregation packet generator,17,0.02148999,1,0.07464323,23,0.03902015,1,0.08698377,10,0.04879861
passkey_exact_seed409_L2048_001,409,passkey_exact,2048,1857,1857,exact passkey offset chosen by RNG and exposed as the query offset,18,0.00857011,1,0.05447495,31,0.01634941,1,0.06475824,3,0.02632119
multi_needle_seed409_L2048_001,409,multi_needle,2048,157,157,third same-token occurrence in increasing delta order,25,0.00771845,1,0.05357118,3,0.03591882,1,0.06583016,34,0.02439931
aggregation_seed409_L2048_001,409,aggregation,2048,1910,1910;1964,two explicit offsets selected by the aggregation packet generator,6,0.04627537,1,0.07919141,34,0.03076348,1,0.08379802,1,0.04879861
passkey_exact_seed409_L2048_002,409,passkey_exact,2048,1006,1006,exact passkey offset chosen by RNG and exposed as the query offset,18,0.0115639,1,0.05508117,17,0.02563975,1,0.06765537,17,0.02632119
multi_needle_seed409_L2048_002,409,multi_needle,2048,175,175,third same-token occurrence in increasing delta order,21,0.00756138,1,0.05027676,3,0.03520689,1,0.06072374,34,0.02439931
aggregation_seed409_L2048_002,409,aggregation,2048,767,767;835,two explicit offsets selected by the aggregation packet generator,4,0.09085827,1,0.08114936,11,0.05348372,1,0.09509882,23,0.04879861
passkey_exact_seed409_L2048_003,409,passkey_exact,2048,1603,1603,exact passkey offset chosen by RNG and exposed as the query offset,20,0.00799669,1,0.05390484,28,0.01790454,1,0.06421236,6,0.02632119
multi_needle_seed409_L2048_003,409,multi_needle,2048,168,168,third same-token occurrence in increasing delta order,19,0.00905305,1,0.05005266,3,0.03666377,1,0.0657215,34,0.02439931
aggregation_seed409_L2048_003,409,aggregation,2048,1387,1387;1473,two explicit offsets selected by the aggregation packet generator,17,0.01550353,1,0.07336003,32,0.03499404,1,0.0870013,3,0.04879861
passkey_exact_seed409_L4096_000,409,passkey_exact,4096,830,830,exact passkey offset chosen by RNG and exposed as the query offset,17,0.01036769,1,0.05006352,6,0.02955608,1,0.05693672,28,0.02321872
multi_needle_seed409_L4096_000,409,multi_needle,4096,686,686,third same-token occurrence in increasing delta order,21,0.00543835,1,0.04984101,3,0.03125323,1,0.0538363,34,0.02171022
aggregation_seed409_L4096_000,409,aggregation,4096,1326,1326;1824,two explicit offsets selected by the aggregation packet generator,8,0.0321902,1,0.06719685,9,0.04720275,1,0.0762138,19,0.04342044
passkey_exact_seed409_L4096_001,409,passkey_exact,4096,2597,2597,exact passkey offset chosen by RNG and exposed as the query offset,16,0.00786722,1,0.04827023,21,0.02010289,1,0.05666976,13,0.02321872
multi_needle_seed409_L4096_001,409,multi_needle,4096,445,445,third same-token occurrence in increasing delta order,21,0.00831241,1,0.04909839,3,0.03148503,1,0.05355693,34,0.02171022
aggregation_seed409_L4096_001,409,aggregation,4096,4009,4009;4092,two explicit offsets selected by the aggregation packet generator,21,0.0125433,1,0.0764513,35,0.02652368,1,0.07962234,1,0.04342044
passkey_exact_seed409_L4096_002,409,passkey_exact,4096,915,915,exact passkey offset chosen by RNG and exposed as the query offset,19,0.00724285,1,0.05008311,10,0.02875601,1,0.05784937,24,0.02321872
multi_needle_seed409_L4096_002,409,multi_needle,4096,347,347,third same-token occurrence in increasing delta order,18,0.00823187,1,0.0515045,3,0.03296799,1,0.05491438,34,0.02171022
aggregation_seed409_L4096_002,409,aggregation,4096,3221,3221;3296,two explicit offsets selected by the aggregation packet generator,11,0.03579243,1,0.07603643,24,0.03279593,1,0.09201605,11,0.04342044
passkey_exact_seed409_L4096_003,409,passkey_exact,4096,2815,2815,exact passkey offset chosen by RNG and exposed as the query offset,14,0.00812207,1,0.0504933,22,0.01881786,1,0.05908003,12,0.02321872
multi_needle_seed409_L4096_003,409,multi_needle,4096,291,291,third same-token occurrence in increasing delta order,16,0.00800025,1,0.04824829,3,0.03119596,1,0.05350341,34,0.02171022
aggregation_seed409_L4096_003,409,aggregation,4096,1579,1579;1965,two explicit offsets selected by the aggregation packet generator,14,0.01725885,1,0.06729769,16,0.04287756,1,0.07842076,16,0.04342044
passkey_exact_seed419_L512_000,419,passkey_exact,512,412,412,exact passkey offset chosen by RNG and exposed as the query offset,10,0.01890799,1,0.09316734,13,0.04351134,1,0.11065053,5,0.05487118
multi_needle_seed419_L512_000,419,multi_needle,512,101,101,third same-token occurrence in increasing delta order,9,0.02495658,1,0.0928516,3,0.06550397,1,0.11362243,16,0.05202366
aggregation_seed419_L512_000,419,aggregation,512,438,438;494,two explicit offsets selected by the aggregation packet generator,12,0.02128612,1,0.14303982,14,0.06544189,1,0.15961993,1,0.09891419
passkey_exact_seed419_L512_001,419,passkey_exact,512,179,179,exact passkey offset chosen by RNG and exposed as the query offset,11,0.01214603,1,0.09971276,3,0.06364779,1,0.11780717,15,0.05487118
multi_needle_seed419_L512_001,419,multi_needle,512,28,28,third same-token occurrence in increasing delta order,9,0.01524085,1,0.09222208,3,0.07566103,1,0.10840756,16,0.05202366
aggregation_seed419_L512_001,419,aggregation,512,139,139;149,two explicit offsets selected by the aggregation packet generator,9,0.03753635,1,0.14588089,4,0.12547689,1,0.16614136,15,0.09891419
passkey_exact_seed419_L512_002,419,passkey_exact,512,425,425,exact passkey offset chosen by RNG and exposed as the query offset,6,0.01968785,1,0.09425966,14,0.03806795,1,0.11236286,4,0.05487118
multi_needle_seed419_L512_002,419,multi_needle,512,107,107,third same-token occurrence in increasing delta order,9,0.0188332,1,0.09685057,3,0.07110793,1,0.11366888,16,0.05202366
aggregation_seed419_L512_002,419,aggregation,512,413,413;430,two explicit offsets selected by the aggregation packet generator,5,0.08212451,1,0.13860125,15,0.06922284,1,0.16288372,2,0.09891419
passkey_exact_seed419_L512_003,419,passkey_exact,512,145,145,exact passkey offset chosen by RNG and exposed as the query offset,9,0.02637219,1,0.09609862,7,0.06134801,1,0.11729777,11,0.05487118
multi_needle_seed419_L512_003,419,multi_needle,512,47,47,third same-token occurrence in increasing delta order,8,0.04048935,1,0.09803574,3,0.07449567,1,0.11011925,16,0.05202366
aggregation_seed419_L512_003,419,aggregation,512,350,350;402,two explicit offsets selected by the aggregation packet generator,3,0.21115867,1,0.13439258,14,0.07644171,1,0.14310172,5,0.09891419
passkey_exact_seed419_L1024_000,419,passkey_exact,1024,662,662,exact passkey offset chosen by RNG and exposed as the query offset,17,0.01119635,1,0.0498985,21,0.02395381,1,0.06057581,13,0.02820559
multi_needle_seed419_L1024_000,419,multi_needle,1024,77,77,third same-token occurrence in increasing delta order,23,0.00695287,1,0.0526276,3,0.03973242,1,0.06611821,34,0.02601015
aggregation_seed419_L1024_000,419,aggregation,1024,321,321;336,two explicit offsets selected by the aggregation packet generator,26,0.01142215,1,0.07808536,9,0.05995315,1,0.08958973,26,0.0520203
passkey_exact_seed419_L1024_001,419,passkey_exact,1024,766,766,exact passkey offset chosen by RNG and exposed as the query offset,20,0.00914819,1,0.05417956,21,0.021767,1,0.06873957,13,0.02820559
multi_needle_seed419_L1024_001,419,multi_needle,1024,82,82,third same-token occurrence in increasing delta order,21,0.00749844,1,0.05159557,3,0.03968574,1,0.0634774,34,0.02601015
aggregation_seed419_L1024_001,419,aggregation,1024,487,487;613,two explicit offsets selected by the aggregation packet generator,4,0.06447634,1,0.07699093,23,0.04520831,1,0.08323153,11,0.0520203
passkey_exact_seed419_L1024_002,419,passkey_exact,1024,412,412,exact passkey offset chosen by RNG and exposed as the query offset,19,0.00960373,1,0.05184815,11,0.03107666,1,0.06280291,23,0.02820559
multi_needle_seed419_L1024_002,419,multi_needle,1024,60,60,third same-token occurrence in increasing delta order,19,0.0090037,1,0.0512231,3,0.03766475,1,0.0617578,34,0.02601015
aggregation_seed419_L1024_002,419,aggregation,1024,540,540;557,two explicit offsets selected by the aggregation packet generator,21,0.01747737,1,0.07690337,20,0.04938987,1,0.08940397,16,0.0520203
passkey_exact_seed419_L1024_003,419,passkey_exact,1024,275,275,exact passkey offset chosen by RNG and exposed as the query offset,21,0.0067371,1,0.05584314,7,0.03624277,1,0.07216726,27,0.02820559
multi_needle_seed419_L1024_003,419,multi_needle,1024,42,42,third same-token occurrence in increasing delta order,23,0.00695698,1,0.05153645,3,0.03968483,1,0.06111269,34,0.02601015
aggregation_seed419_L1024_003,419,aggregation,1024,287,287;308,two explicit offsets selected by the aggregation packet generator,10,0.03924445,1,0.08108072,12,0.05762774,1,0.09009378,22,0.0520203
passkey_exact_seed419_L2048_000,419,passkey_exact,2048,1171,1171,exact passkey offset chosen by RNG and exposed as the query offset,15,0.00959184,1,0.0515135,20,0.02344543,1,0.06423778,14,0.02632119
multi_needle_seed419_L2048_000,419,multi_needle,2048,75,75,third same-token occurrence in increasing delta order,18,0.00832598,1,0.05218255,3,0.0352733,1,0.06215905,34,0.02439931
aggregation_seed419_L2048_000,419,aggregation,2048,1459,1459;1497,two explicit offsets selected by the aggregation packet generator,11,0.03093245,1,0.08535429,27,0.03732482,1,0.09707689,9,0.04879861
passkey_exact_seed419_L2048_001,419,passkey_exact,2048,1189,1189,exact passkey offset chosen by RNG and exposed as the query offset,18,0.00921574,1,0.05102152,18,0.02354526,1,0.06321948,16,0.02632119
multi_needle_seed419_L2048_001,419,multi_needle,2048,85,85,third same-token occurrence in increasing delta order,17,0.00742534,1,0.05148764,3,0.03597286,1,0.0646349,34,0.02439931
aggregation_seed419_L2048_001,419,aggregation,2048,1395,1395;1544,two explicit offsets selected by the aggregation packet generator,2,0.09497012,1,0.07049186,23,0.0385368,1,0.09229103,10,0.04879861
passkey_exact_seed419_L2048_002,419,passkey_exact,2048,1564,1564,exact passkey offset chosen by RNG and exposed as the query offset,19,0.0101263,1,0.05421164,29,0.01909452,1,0.06867404,5,0.02632119
multi_needle_seed419_L2048_002,419,multi_needle,2048,132,132,third same-token occurrence in increasing delta order,20,0.00694603,1,0.04931813,3,0.03149021,1,0.06097935,34,0.02439931
aggregation_seed419_L2048_002,419,aggregation,2048,679,679;755,two explicit offsets selected by the aggregation packet generator,3,0.10741865,1,0.07716165,13,0.05506076,1,0.09450107,21,0.04879861
passkey_exact_seed419_L2048_003,419,passkey_exact,2048,1534,1534,exact passkey offset chosen by RNG and exposed as the query offset,15,0.01018199,1,0.05466077,25,0.02002022,1,0.06661003,9,0.02632119
multi_needle_seed419_L2048_003,419,multi_needle,2048,92,92,third same-token occurrence in increasing delta order,19,0.00811362,1,0.05170849,3,0.03408803,1,0.06378595,34,0.02439931
aggregation_seed419_L2048_003,419,aggregation,2048,1125,1125;1166,two explicit offsets selected by the aggregation packet generator,18,0.02093343,1,0.07640196,15,0.0480239,1,0.08741831,20,0.04879861
passkey_exact_seed419_L4096_000,419,passkey_exact,4096,2554,2554,exact passkey offset chosen by RNG and exposed as the query offset,25,0.00613445,1,0.0494333,21,0.02068161,1,0.05953988,13,0.02321872
multi_needle_seed419_L4096_000,419,multi_needle,4096,399,399,third same-token occurrence in increasing delta order,20,0.00846778,1,0.05013285,3,0.03250357,1,0.05496967,34,0.02171022
aggregation_seed419_L4096_000,419,aggregation,4096,2283,2283;2656,two explicit offsets selected by the aggregation packet generator,18,0.01624589,1,0.06950953,18,0.03943696,1,0.07291919,13,0.04342044
passkey_exact_seed419_L4096_001,419,passkey_exact,4096,3529,3529,exact passkey offset chosen by RNG and exposed as the query offset,15,0.00722218,1,0.05258943,28,0.01545895,1,0.05676679,6,0.02321872
multi_needle_seed419_L4096_001,419,multi_needle,4096,313,313,third same-token occurrence in increasing delta order,20,0.00728786,1,0.04806341,3,0.03036502,1,0.05155664,34,0.02171022
aggregation_seed419_L4096_001,419,aggregation,4096,1754,1754;2132,two explicit offsets selected by the aggregation packet generator,7,0.03434861,1,0.07303854,16,0.04239962,1,0.07529408,16,0.04342044
passkey_exact_seed419_L4096_002,419,passkey_exact,4096,2100,2100,exact passkey offset chosen by RNG and exposed as the query offset,20,0.00750086,1,0.05236403,14,0.02251972,1,0.06417831,20,0.02321872
multi_needle_seed419_L4096_002,419,multi_needle,4096,504,504,third same-token occurrence in increasing delta order,19,0.00846123,1,0.04932438,3,0.0306813,1,0.05261263,34,0.02171022
aggregation_seed419_L4096_002,419,aggregation,4096,3851,3851;4084,two explicit offsets selected by the aggregation packet generator,21,0.01223413,1,0.07543777,33,0.0280868,1,0.07902856,1,0.04342044
passkey_exact_seed419_L4096_003,419,passkey_exact,4096,2061,2061,exact passkey offset chosen by RNG and exposed as the query offset,18,0.00749494,1,0.04898319,12,0.02308423,1,0.05776108,22,0.02321872
multi_needle_seed419_L4096_003,419,multi_needle,4096,26,26,third same-token occurrence in increasing delta order,18,0.00655877,1,0.04774169,3,0.03244013,1,0.05299199,34,0.02171022
aggregation_seed419_L4096_003,419,aggregation,4096,3284,3284;3347,two explicit offsets selected by the aggregation packet generator,17,0.01509347,1,0.07586738,30,0.03101084,1,0.08875155,6,0.04342044
passkey_exact_seed421_L512_000,421,passkey_exact,512,145,145,exact passkey offset chosen by RNG and exposed as the query offset,6,0.02526656,1,0.09361002,9,0.061344,1,0.12106757,9,0.05487118
multi_needle_seed421_L512_000,421,multi_needle,512,58,58,third same-token occurrence in increasing delta order,10,0.01284896,1,0.08809373,3,0.07530918,1,0.10383764,16,0.05202366
aggregation_seed421_L512_000,421,aggregation,512,110,110;136,two explicit offsets selected by the aggregation packet generator,9,0.0458651,1,0.14273602,3,0.12616938,1,0.16586161,15,0.09891419
passkey_exact_seed421_L512_001,421,passkey_exact,512,286,286,exact passkey offset chosen by RNG and exposed as the query offset,8,0.01319177,1,0.09713421,9,0.04908051,1,0.11405929,9,0.05487118
