task,seed,method,epochs,train_row_count,validation_loss,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_target_probability_mae,test_mean_top1_confidence,test_expected_calibration_error,final_training_loss
exact_offset_passkey,307,alibi,45,8,4.852026,4.852013,127.997808,0.0,0.029793,0.007813,0.992187,0.007814,0.007814,4.851959
exact_offset_passkey,307,rope,45,8,4.852025,4.852013,127.997787,0.0,0.02958,0.007813,0.992187,0.007814,0.007814,4.851957
exact_offset_passkey,307,phasewrap_bias,45,8,4.852024,4.852015,127.997996,0.0,0.035941,0.007813,0.992187,0.007814,0.007814,4.851962
exact_offset_passkey,307,phasewrap_adapter,45,8,4.852024,4.852014,127.99798,0.0,0.036024,0.007813,0.992187,0.007814,0.007814,4.851962
exact_offset_passkey,311,no_position,45,8,4.851996,4.852033,128.000361,0.125,0.146782,0.007812,0.992188,0.007814,0.117186,4.851972
exact_offset_passkey,311,sinusoidal,45,8,4.851996,4.852033,128.000357,0.125,0.146766,0.007812,0.992188,0.007814,0.117186,4.851973
exact_offset_passkey,311,alibi,45,8,4.851996,4.852033,128.000361,0.125,0.146782,0.007812,0.992188,0.007814,0.117186,4.851973
exact_offset_passkey,311,rope,45,8,4.851996,4.852033,128.000363,0.125,0.146766,0.007812,0.992188,0.007814,0.117186,4.851973
exact_offset_passkey,311,phasewrap_bias,45,8,4.851996,4.852033,128.000376,0.125,0.146798,0.007812,0.992188,0.007814,0.117186,4.851973
exact_offset_passkey,311,phasewrap_adapter,45,8,4.851996,4.852033,128.000378,0.125,0.146798,0.007812,0.992188,0.007814,0.117186,4.851973
exact_offset_passkey,313,no_position,45,8,4.852037,4.852031,128.000118,0.0,0.028097,0.007812,0.992188,0.007814,0.007814,4.852018
exact_offset_passkey,313,sinusoidal,45,8,4.852036,4.852032,128.000199,0.0,0.027848,0.007812,0.992188,0.007814,0.007814,4.852018
exact_offset_passkey,313,alibi,45,8,4.852037,4.852031,128.000062,0.0,0.026809,0.007812,0.992188,0.007814,0.007814,4.852018
exact_offset_passkey,313,rope,45,8,4.852037,4.852031,128.000133,0.0,0.028066,0.007812,0.992188,0.007814,0.007814,4.852018
exact_offset_passkey,313,phasewrap_bias,45,8,4.852037,4.852031,128.000068,0.0,0.027891,0.007812,0.992188,0.007814,0.007814,4.852019
exact_offset_passkey,313,phasewrap_adapter,45,8,4.852037,4.852031,128.000084,0.0,0.027858,0.007812,0.992188,0.007814,0.007814,4.852019
exact_offset_passkey,317,no_position,45,8,4.851967,4.852019,127.998524,0.0,0.026608,0.007813,0.992187,0.007815,0.007815,4.851872
exact_offset_passkey,317,sinusoidal,45,8,4.851967,4.852019,127.998544,0.0,0.026719,0.007813,0.992187,0.007815,0.007815,4.851872
exact_offset_passkey,317,alibi,45,8,4.851965,4.852019,127.998509,0.0,0.026592,0.007813,0.992187,0.007815,0.007815,4.851872
exact_offset_passkey,317,rope,45,8,4.851968,4.852019,127.998511,0.0,0.026608,0.007813,0.992187,0.007815,0.007815,4.851872
exact_offset_passkey,317,phasewrap_bias,45,8,4.851974,4.852017,127.998352,0.0,0.026937,0.007813,0.992187,0.007815,0.007815,4.851874
exact_offset_passkey,317,phasewrap_adapter,45,8,4.851975,4.852017,127.998337,0.0,0.026953,0.007813,0.992187,0.007815,0.007815,4.851874
exact_offset_passkey,331,no_position,45,8,4.85205,4.852011,127.997577,0.0,0.029459,0.007813,0.992187,0.007814,0.007814,4.851946
exact_offset_passkey,331,sinusoidal,45,8,4.85205,4.852011,127.997592,0.0,0.029375,0.007813,0.992187,0.007814,0.007814,4.851946
exact_offset_passkey,331,alibi,45,8,4.85205,4.852011,127.997578,0.0,0.029459,0.007813,0.992187,0.007814,0.007814,4.851946
exact_offset_passkey,331,rope,45,8,4.85205,4.852011,127.997582,0.0,0.029459,0.007813,0.992187,0.007814,0.007814,4.851946
exact_offset_passkey,331,phasewrap_bias,45,8,4.85205,4.852011,127.997577,0.0,0.02942,0.007813,0.992187,0.007814,0.007814,4.851946
exact_offset_passkey,331,phasewrap_adapter,45,8,4.85205,4.852011,127.997577,0.0,0.02942,0.007813,0.992187,0.007814,0.007814,4.851946
tiny_text_fact_qa,307,no_position,45,8,4.851976,4.85201,127.997416,0.0,0.022419,0.007813,0.992187,0.007814,0.007814,4.851895
tiny_text_fact_qa,307,sinusoidal,45,8,4.851976,4.85201,127.997423,0.0,0.02219,0.007813,0.992187,0.007814,0.007814,4.851896
tiny_text_fact_qa,307,alibi,45,8,4.851976,4.852011,127.997533,0.0,0.021766,0.007813,0.992187,0.007814,0.007814,4.851897
tiny_text_fact_qa,307,rope,45,8,4.851976,4.85201,127.997433,0.0,0.022274,0.007813,0.992187,0.007814,0.007814,4.851895
tiny_text_fact_qa,307,phasewrap_bias,45,8,4.851979,4.85201,127.997465,0.0,0.023012,0.007813,0.992187,0.007814,0.007814,4.851895
tiny_text_fact_qa,307,phasewrap_adapter,45,8,4.851979,4.852011,127.997471,0.0,0.022433,0.007813,0.992187,0.007814,0.007814,4.851895
tiny_text_fact_qa,311,no_position,45,8,4.85201,4.851992,127.995093,0.0,0.051021,0.007813,0.992187,0.007814,0.007814,4.851974
tiny_text_fact_qa,311,sinusoidal,45,8,4.85201,4.851992,127.995092,0.0,0.051021,0.007813,0.992187,0.007814,0.007814,4.851974
tiny_text_fact_qa,311,alibi,45,8,4.85201,4.851992,127.995095,0.0,0.051021,0.007813,0.992187,0.007814,0.007814,4.851974
tiny_text_fact_qa,311,rope,45,8,4.85201,4.851992,127.995097,0.0,0.051021,0.007813,0.992187,0.007814,0.007814,4.851974
tiny_text_fact_qa,311,phasewrap_bias,45,8,4.85201,4.851992,127.995146,0.0,0.051021,0.007813,0.992187,0.007814,0.007814,4.851974
tiny_text_fact_qa,311,phasewrap_adapter,45,8,4.85201,4.851992,127.995146,0.0,0.051021,0.007813,0.992187,0.007814,0.007814,4.851974
tiny_text_fact_qa,313,no_position,45,8,4.851996,4.852032,128.000197,0.0,0.026226,0.007812,0.992188,0.007814,0.007814,4.851964
tiny_text_fact_qa,313,sinusoidal,45,8,4.851994,4.852031,128.000128,0.0,0.026146,0.007812,0.992188,0.007814,0.007814,4.851964
tiny_text_fact_qa,313,alibi,45,8,4.851995,4.852031,128.00013,0.0,0.026407,0.007812,0.992188,0.007814,0.007814,4.851964
tiny_text_fact_qa,313,rope,45,8,4.851995,4.852032,128.000187,0.0,0.026143,0.007812,0.992188,0.007814,0.007814,4.851964
tiny_text_fact_qa,313,phasewrap_bias,45,8,4.851997,4.852032,128.000175,0.0,0.026708,0.007812,0.992188,0.007814,0.007814,4.851964
tiny_text_fact_qa,313,phasewrap_adapter,45,8,4.851997,4.852032,128.000173,0.0,0.026708,0.007812,0.992188,0.007814,0.007814,4.851964
tiny_text_fact_qa,317,no_position,45,8,4.851967,4.85201,127.99737,0.0,0.026531,0.007813,0.992187,0.007814,0.007814,4.851946
tiny_text_fact_qa,317,sinusoidal,45,8,4.851967,4.85201,127.997448,0.0,0.025095,0.007813,0.992187,0.007814,0.007814,4.851947
tiny_text_fact_qa,317,alibi,45,8,4.851968,4.852011,127.997489,0.0,0.025652,0.007813,0.992187,0.007814,0.007814,4.851946
tiny_text_fact_qa,317,rope,45,8,4.851967,4.85201,127.997371,0.0,0.026611,0.007813,0.992187,0.007814,0.007814,4.851946
tiny_text_fact_qa,317,phasewrap_bias,45,8,4.851968,4.852006,127.996882,0.0,0.029348,0.007813,0.992187,0.007814,0.007814,4.851943
tiny_text_fact_qa,317,phasewrap_adapter,45,8,4.851968,4.852006,127.996876,0.0,0.029348,0.007813,0.992187,0.007814,0.007814,4.851943
tiny_text_fact_qa,331,no_position,45,8,4.852015,4.85203,127.999908,0.0,0.023868,0.007813,0.992187,0.007814,0.007814,4.852005
tiny_text_fact_qa,331,sinusoidal,45,8,4.852015,4.852029,127.999901,0.0,0.023844,0.007813,0.992187,0.007814,0.007814,4.852005
tiny_text_fact_qa,331,alibi,45,8,4.852015,4.85203,127.999914,0.0,0.023868,0.007813,0.992187,0.007814,0.007814,4.852005
tiny_text_fact_qa,331,rope,45,8,4.852015,4.852029,127.999902,0.0,0.023868,0.007813,0.992187,0.007814,0.007814,4.852005
tiny_text_fact_qa,331,phasewrap_bias,45,8,4.852015,4.85203,127.999931,0.0,0.023834,0.007813,0.992187,0.007814,0.007814,4.852005
tiny_text_fact_qa,331,phasewrap_adapter,45,8,4.852015,4.85203,127.99993,0.0,0.023834,0.007813,0.992187,0.007814,0.007814,4.852005
