task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,train_row_count,base_train_row_count,curriculum_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
phase_cued_retrieval,331,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.040336,2.194759,0.964976,0.039824,1.040628,1.0,1.0,0.961129,0.961129,0.038871,0.964976,0.029965,1.030418,1.0,1.0,0.970564,0.970564,0.029436,0.964976,12.321976,224577.477739,0.083333,0.112883,0.07999,0.936739,0.853406,0.964976
phase_cued_retrieval,331,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.100858,1.185606,0.966912,0.100367,1.105577,1.0,1.0,0.915098,0.915098,0.084902,0.966912,0.173119,1.189008,1.0,1.0,0.857136,0.857136,0.142864,0.966912,14.5234,2029703.053013,0.0,0.022154,7.5e-05,0.917896,0.917896,0.966912
phase_cued_retrieval,331,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.028793,2.119894,0.965036,0.028361,1.028767,1.0,1.0,0.972114,0.972114,0.027886,0.965036,0.03535,1.035983,1.0,1.0,0.965267,0.965267,0.034733,0.965036,12.592352,294299.18267,0.083333,0.095454,0.080429,0.848943,0.765609,0.965036
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.10319,0.008156,0.97384,0.102555,1.107998,0.944444,0.972222,0.920731,0.920768,0.023676,0.97384,0.142598,1.153266,0.833333,0.916667,0.892398,0.89251,0.102833,0.97384,13.781805,966856.276743,0.0,0.020802,7.6e-05,0.931102,0.931102,0.97384
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.032431,-0.012914,0.970295,0.03136,1.031857,1.0,1.0,0.969147,0.969147,0.030853,0.970295,0.029919,1.030371,1.0,1.0,0.970524,0.970524,0.029476,0.970295,11.253678,77163.196526,0.0,0.06308,0.000116,0.961584,0.961584,0.970295
exact_offset_passkey,307,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.028085,1.0,0.965182,0.027668,1.028054,1.0,1.0,0.972813,0.972813,0.027187,0.965182,0.029707,1.030152,1.0,1.0,0.970808,0.970808,0.029192,0.965182,9.213044,10027.075643,0.0,0.041551,0.000218,0.899978,0.899978,0.965182
exact_offset_passkey,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.028419,2.12473,0.960077,0.027884,1.028276,1.0,1.0,0.972678,0.972678,0.027322,0.960077,0.031123,1.031612,1.0,1.0,0.969518,0.969518,0.030482,0.960077,10.764698,47320.468354,0.083333,0.122081,0.079241,0.871702,0.788369,0.960077
exact_offset_passkey,307,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.028196,-0.357184,0.965604,0.027689,1.028076,1.0,1.0,0.972785,0.972785,0.027215,0.965604,0.02949,1.029929,1.0,1.0,0.971023,0.971023,0.028977,0.965604,9.43461,12514.086047,0.0,0.03166,0.000221,0.892193,0.892193,0.965604
exact_offset_passkey,307,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.026024,2.225953,0.962989,0.025597,1.025928,1.0,1.0,0.97485,0.97485,0.02515,0.962989,0.022242,1.022491,1.0,1.0,0.978135,0.978135,0.021865,0.962989,10.148014,25540.326672,0.083333,0.117905,0.0818,0.864669,0.781336,0.962989
exact_offset_passkey,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.024596,0.209665,0.971608,0.024179,1.024473,1.0,1.0,0.976166,0.976166,0.023834,0.971608,0.02892,1.029342,1.0,1.0,0.971494,0.971494,0.028506,0.971608,14.077128,1299029.612277,0.0,0.020858,2e-06,0.875988,0.875988,0.971608
exact_offset_passkey,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.094631,0.316245,0.970989,0.085614,1.089386,1.0,1.0,0.928604,0.928604,0.071396,0.970989,0.125395,1.133596,1.0,1.0,0.89668,0.89668,0.10332,0.970989,12.128788,185125.215704,0.0,0.037863,0.000432,0.794049,0.794049,0.970989
exact_offset_passkey,311,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.073704,1.0,0.960959,0.070549,1.073097,1.0,1.0,0.936408,0.936408,0.063592,0.960959,0.026458,1.026812,1.0,1.0,0.97405,0.97405,0.02595,0.960959,10.68554,43719.075548,0.083333,0.09603,0.07227,0.92288,0.861691,0.960959
exact_offset_passkey,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.176619,2.466169,0.961137,0.174901,1.191128,1.0,1.0,0.846545,0.846545,0.153455,0.961137,0.211238,1.235206,1.0,1.0,0.820498,0.820498,0.179502,0.961137,8.787318,6550.636899,0.083333,0.1829,0.035691,0.579834,0.539717,0.961137
exact_offset_passkey,311,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.13427,0.695377,0.949206,0.122596,1.130428,1.0,1.0,0.892319,0.892319,0.107681,0.949206,0.060992,1.06289,1.0,1.0,0.941509,0.941509,0.058491,0.949206,10.10631,24497.088818,0.0,0.049947,0.000189,0.846821,0.846821,0.949206
exact_offset_passkey,311,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.363847,2.719341,0.951699,0.354851,1.425968,0.888889,0.944444,0.775904,0.789897,0.172363,0.951699,0.584578,1.794234,0.666667,0.833333,0.688923,0.730902,0.155876,0.951699,12.034998,168551.786506,0.0,0.084651,0.002863,0.794809,0.794809,0.951699
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.87849,0.03817,0.90649,0.860391,2.364085,0.777778,0.847222,0.547243,0.613979,0.247453,0.90649,1.420625,4.139708,0.5,0.666667,0.375504,0.492732,0.347213,0.90649,13.267106,577871.25494,0.0,0.038735,0.002959,0.629252,0.629252,0.90649
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.703725,0.216531,0.844999,0.74017,2.096293,0.722222,0.835185,0.609904,0.731129,0.106997,0.844999,1.282651,3.606186,0.333333,0.638889,0.382622,0.711987,0.453308,0.844999,13.408941,665930.912504,0.0,0.031749,0.005132,0.619253,0.619253,0.844999
exact_offset_passkey,313,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.429725,1.0,0.882467,0.428807,1.535425,0.888889,0.935185,0.788667,0.880133,0.008756,0.882467,0.580288,1.786552,0.833333,0.888889,0.742772,0.879914,0.046581,0.882467,15.898392,8027562.610946,0.0,0.067304,0.005502,0.826467,0.826467,0.882467
exact_offset_passkey,313,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.035626,2.160077,0.962194,0.034916,1.035532,1.0,1.0,0.965772,0.965772,0.034228,0.962194,0.031524,1.032026,1.0,1.0,0.969045,0.969045,0.030955,0.962194,12.622805,303399.42027,0.0,0.055732,0.003651,0.758462,0.758462,0.962194
exact_offset_passkey,313,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.03395,1.313219,0.96516,0.033294,1.033854,1.0,1.0,0.96727,0.96727,0.03273,0.96516,0.029656,1.0301,1.0,1.0,0.970813,0.970813,0.029187,0.96516,11.426541,91724.188122,0.0,0.034798,8.9e-05,0.834874,0.834874,0.96516
exact_offset_passkey,313,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.428257,2.347883,0.892383,0.427871,1.533988,0.888889,0.935185,0.79755,0.890696,0.001807,0.892383,0.584478,1.794054,0.833333,0.888889,0.750893,0.890588,0.057254,0.892383,15.803346,7299715.649832,0.0,0.062998,0.027605,0.800997,0.800997,0.892383
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.418454,0.143608,0.880289,0.418335,1.51943,0.888889,0.935185,0.796616,0.887787,0.001102,0.880289,0.573861,1.775108,0.833333,0.888889,0.746481,0.88332,0.049987,0.880289,14.011901,1217002.213007,0.0,0.030308,6.5e-05,0.782913,0.782913,0.880289
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.41697,0.155992,0.879875,0.416762,1.517042,0.888889,0.935185,0.797704,0.8888,0.009678,0.879875,0.569055,1.766596,0.833333,0.888889,0.750109,0.886822,0.081747,0.879875,13.729437,917526.289616,0.0,0.030414,0.000925,0.734407,0.734407,0.879875
exact_offset_passkey,317,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.334817,1.0,0.965546,0.332091,1.39388,0.833333,0.916667,0.776304,0.817858,0.124277,0.965546,0.201782,1.223581,0.833333,0.916667,0.856954,0.88837,0.13512,0.965546,9.72693,16763.008661,0.0,0.055122,0.003069,0.901353,0.901353,0.965546
exact_offset_passkey,317,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.143713,2.172189,0.962209,0.142692,1.153375,1.0,1.0,0.873858,0.873858,0.126142,0.962209,0.105578,1.111352,1.0,1.0,0.904462,0.904462,0.095538,0.962209,14.076587,1298327.006702,0.0,0.071719,0.011799,0.854153,0.854153,0.962209
exact_offset_passkey,317,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.340131,0.935901,0.942999,0.339685,1.404505,0.833333,0.916667,0.816853,0.880488,0.077613,0.942999,0.526464,1.692935,0.833333,0.916667,0.795283,0.942953,0.109619,0.942999,9.483983,13147.449571,0.0,0.057072,0.005089,0.922203,0.922203,0.942999
exact_offset_passkey,317,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.295326,2.486668,0.963117,0.294135,1.341965,0.944444,0.972222,0.776859,0.778524,0.165921,0.963117,0.261207,1.298496,1.0,1.0,0.813498,0.813498,0.186502,0.963117,9.747655,17114.042687,0.0,0.053181,0.003328,0.875657,0.875657,0.963117
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.40482,0.035598,0.92894,0.403601,1.497206,0.833333,0.916667,0.755653,0.817209,0.091295,0.92894,0.503476,1.654462,0.833333,0.916667,0.786024,0.928948,0.095614,0.92894,9.767242,17452.564256,0.0,0.072238,0.005959,0.916728,0.916728,0.92894
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.498845,0.118797,0.853862,0.497129,1.643994,0.777778,0.888889,0.687745,0.770736,0.128487,0.853862,0.755267,2.12818,0.666667,0.833333,0.617322,0.839103,0.172436,0.853862,7.643414,2086.855402,0.0,0.047339,0.003624,0.61322,0.61322,0.853862
exact_offset_passkey,331,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.027117,1.0,0.963683,0.026536,1.026892,1.0,1.0,0.973913,0.973913,0.026087,0.963683,0.027209,1.027583,1.0,1.0,0.973239,0.973239,0.026761,0.963683,13.418225,672141.77555,0.0,0.015644,1.9e-05,0.902229,0.902229,0.963683
exact_offset_passkey,331,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.062457,2.385496,0.962013,0.060582,1.062455,1.0,1.0,0.941864,0.941864,0.058136,0.962013,0.067116,1.069419,1.0,1.0,0.935283,0.935283,0.064717,0.962013,13.630476,831075.837373,0.0,0.025171,2.3e-05,0.682764,0.682764,0.962013
exact_offset_passkey,331,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.025354,0.173937,0.962936,0.024835,1.025146,1.0,1.0,0.975576,0.975576,0.024424,0.962936,0.024368,1.024668,1.0,1.0,0.976022,0.976022,0.023978,0.962936,13.069191,474108.228234,0.0,0.030145,6e-06,0.843265,0.843265,0.962936
exact_offset_passkey,331,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.035885,2.435356,0.962463,0.034349,1.034946,1.0,1.0,0.96634,0.96634,0.03366,0.962463,0.035388,1.036022,1.0,1.0,0.965334,0.965334,0.034666,0.962463,13.250027,568085.548113,0.0,0.014146,1.6e-05,0.751629,0.751629,0.962463
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.024629,0.164747,0.969755,0.024247,1.024543,1.0,1.0,0.9761,0.9761,0.0239,0.969755,0.026431,1.026784,1.0,1.0,0.973949,0.973949,0.026051,0.969755,12.880075,392414.809207,0.0,0.018469,1.3e-05,0.912856,0.912856,0.969755
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.105134,0.129341,0.969063,0.104757,1.110441,0.944444,0.972222,0.919752,0.925031,0.02509,0.969063,0.262756,1.300509,0.833333,0.916667,0.810031,0.82587,0.024494,0.969063,11.893157,146262.284145,0.0,0.015623,4.7e-05,0.914275,0.914275,0.969063
tiny_text_fact_qa,307,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.361416,1.0,0.967585,0.360788,1.43446,0.833333,0.916667,0.763069,0.807331,0.115167,0.967585,0.469875,1.599794,0.833333,0.916667,0.673261,0.701194,0.174839,0.967585,3.501488,33.164772,0.666667,0.716606,0.517417,0.751719,0.310314,0.967585
tiny_text_fact_qa,307,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.112849,2.034248,0.965115,0.111951,1.118459,1.0,1.0,0.898583,0.898583,0.101417,0.965115,0.124743,1.132857,1.0,1.0,0.885992,0.885992,0.114008,0.965115,2.409993,11.13388,0.75,0.793011,0.689149,0.861025,0.240605,0.965115
tiny_text_fact_qa,307,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.33873,1.145351,0.967821,0.338003,1.402144,0.833333,0.916667,0.772279,0.814256,0.119495,0.967821,0.483764,1.622168,0.666667,0.833333,0.667472,0.703081,0.138732,0.967821,3.631295,37.761673,0.583333,0.674929,0.521403,0.788783,0.292881,0.967821
tiny_text_fact_qa,307,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.242538,2.326953,0.966646,0.2414,1.273031,0.944444,0.972222,0.815876,0.833333,0.14813,0.966646,0.303727,1.354899,1.0,1.0,0.759076,0.759076,0.240924,0.966646,3.094821,22.083291,0.666667,0.716611,0.591372,0.786955,0.314607,0.966646
tiny_text_fact_qa,307,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.368185,0.167552,0.968707,0.367619,1.444292,0.833333,0.916667,0.760198,0.807955,0.099932,0.968707,0.502236,1.652411,0.666667,0.833333,0.658496,0.697174,0.135449,0.968707,3.359755,28.782149,0.5,0.633278,0.505408,0.74745,0.283951,0.968707
tiny_text_fact_qa,307,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.366717,0.201974,0.969222,0.366218,1.44227,0.888889,0.944444,0.76091,0.808639,0.183398,0.969222,0.504203,1.655666,0.833333,0.916667,0.657594,0.696632,0.337276,0.969222,3.359796,28.783319,0.583333,0.674944,0.504627,0.748227,0.312974,0.969222
tiny_text_fact_qa,311,no_position,no_position,80,0.03,full_batch_adam,18,12,6,6,12,0.428537,1.0,0.966983,0.427947,1.534105,0.833333,0.916667,0.718537,0.774647,0.204457,0.966983,0.64446,1.904959,0.833333,0.916667,0.57549,0.644658,0.394202,0.966983,1.359538,3.894394,0.416667,0.666667,0.467534,0.799056,0.382389,0.966983
tiny_text_fact_qa,311,sinusoidal,sinusoidal,80,0.03,full_batch_adam,18,12,6,6,12,0.118352,2.124631,0.961134,0.117249,1.124399,1.0,1.0,0.893193,0.893193,0.106807,0.961134,0.168378,1.183384,1.0,1.0,0.849512,0.849512,0.150488,0.961134,0.328243,1.388527,0.833333,0.916667,0.771924,0.823888,0.096565,0.961134
tiny_text_fact_qa,311,alibi,alibi,80,0.03,full_batch_adam,18,12,6,6,12,0.399938,1.133205,0.967455,0.39914,1.490543,0.888889,0.944444,0.733538,0.781805,0.140219,0.967455,0.555126,1.74216,0.833333,0.916667,0.616839,0.662013,0.351671,0.967455,1.424469,4.15565,0.416667,0.666667,0.466918,0.790959,0.374293,0.967455
tiny_text_fact_qa,311,rope_relative,rope,80,0.03,full_batch_adam,18,12,6,6,12,0.27232,2.538429,0.966163,0.270835,1.311059,0.944444,0.972222,0.790163,0.802184,0.20299,0.966163,0.38159,1.464612,1.0,1.0,0.700076,0.700076,0.299924,0.966163,0.816362,2.262254,0.666667,0.833333,0.573798,0.757646,0.222771,0.966163
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,18,12,6,6,12,0.431302,0.307701,0.970046,0.430876,1.538604,0.888889,0.944444,0.718363,0.775627,0.146215,0.970046,0.648381,1.912443,0.833333,0.916667,0.580411,0.660853,0.271341,0.970046,1.339054,3.815431,0.416667,0.666667,0.460467,0.790624,0.43142,0.970046
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,18,12,6,6,12,0.426627,0.363449,0.969968,0.426222,1.53146,0.888889,0.944444,0.721324,0.779328,0.109561,0.969968,0.640733,1.897871,0.833333,0.916667,0.585789,0.667329,0.166005,0.969968,1.338539,3.813469,0.416667,0.666667,0.460575,0.788586,0.430074,0.969968
