task,seed,method,stage10_method_alias,epochs,learning_rate,support_aux_weight,optimizer,training_tasks,support_classes,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,train_support_accuracy,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,validation_support_accuracy,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate,test_support_accuracy
phase_cued_retrieval,311,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.03311,1.118056,0.964083,0.020434,1.020645,1.0,1.0,0.979877,0.979877,0.020123,0.964083,1.0,11.539515,102694.63455,0.0,0.016648,1.2e-05,0.91329,0.91329,0.964083,0.666667,10.287795,29371.928063,0.083333,0.116556,0.080377,0.906808,0.823475,0.964083,0.666667
exact_offset_passkey,311,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.03311,1.118056,0.964083,0.034255,1.034848,1.0,1.0,0.966333,0.966333,0.033667,0.964083,1.0,11.729183,124142.230221,0.0,0.033456,1.3e-05,0.838141,0.838141,0.964083,1.0,11.933435,152273.762194,0.0,0.018474,1.2e-05,0.820264,0.820264,0.964083,1.0
tiny_text_fact_qa,311,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.03311,1.118056,0.964083,0.030387,1.030853,1.0,1.0,0.97012,0.97012,0.02988,0.964083,1.0,3.270807,26.332577,0.333333,0.569444,0.329595,0.956867,0.623534,0.964083,1.0,2.286951,9.844874,0.583333,0.715278,0.562936,0.93958,0.379174,0.964083,1.0
phase_cued_retrieval,311,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.05334,2.498615,0.956118,0.032512,1.033046,1.0,1.0,0.968213,0.968213,0.031787,0.956118,1.0,13.856684,1042032.705313,0.0,0.027661,1e-06,0.842047,0.842047,0.956118,0.5,10.711371,44863.109962,0.0,0.040436,0.00183,0.722767,0.722767,0.956118,0.416667
exact_offset_passkey,311,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.05334,2.498615,0.956118,0.061574,1.063509,1.0,1.0,0.941827,0.941827,0.058173,0.956118,1.0,14.031577,1241184.793063,0.0,0.030803,4.7e-05,0.857939,0.857939,0.956118,1.0,12.914324,406087.69181,0.0,0.029229,0.000305,0.791021,0.791021,0.956118,1.0
tiny_text_fact_qa,311,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.05334,2.498615,0.956118,0.046088,1.047166,1.0,1.0,0.955218,0.955218,0.044782,0.956118,1.0,2.16376,8.703804,0.666667,0.746032,0.533874,0.779258,0.200229,0.956118,1.0,2.528072,12.52933,0.333333,0.606481,0.376563,0.899016,0.565683,0.956118,1.0
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.033066,0.060726,0.968182,0.021531,1.021764,1.0,1.0,0.978776,0.978776,0.021224,0.968182,1.0,12.197813,198354.845582,0.0,0.011428,3.6e-05,0.916301,0.916301,0.968182,0.5,9.33232,11297.30794,0.083333,0.15297,0.082416,0.815354,0.73202,0.968182,0.666667
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.033066,0.060726,0.968182,0.031737,1.032246,1.0,1.0,0.968762,0.968762,0.031238,0.968182,1.0,10.942547,56531.149734,0.0,0.037527,0.000241,0.902817,0.902817,0.968182,1.0,12.080503,176398.93757,0.0,0.023315,2.1e-05,0.865218,0.865218,0.968182,1.0
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.033066,0.060726,0.968182,0.029139,1.029568,1.0,1.0,0.971326,0.971326,0.028674,0.968182,1.0,3.973893,53.191216,0.333333,0.511574,0.285902,0.920771,0.682793,0.968182,1.0,3.016213,20.413837,0.416667,0.616204,0.3961,0.850428,0.495818,0.968182,1.0
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.129913,0.075701,0.953506,0.030423,1.03089,1.0,1.0,0.970233,0.970233,0.029767,0.953506,1.0,12.127755,184934.064338,0.0,0.013598,4.3e-05,0.806841,0.806841,0.953506,0.5,9.415098,12272.272437,0.083333,0.128452,0.079618,0.850098,0.766764,0.953506,0.5
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.129913,0.075701,0.953506,0.047417,1.048559,1.0,1.0,0.9537,0.9537,0.0463,0.953506,1.0,10.625356,41165.519896,0.166667,0.180657,0.155467,0.862009,0.695343,0.953506,1.0,12.051839,171414.315188,0.0,0.021582,2.6e-05,0.899959,0.899959,0.953506,1.0
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.129913,0.075701,0.953506,0.298659,1.34805,0.916667,0.958333,0.879665,0.955191,0.038524,0.953506,1.0,7.000588,1097.278436,0.0,0.232728,0.026966,0.910357,0.910357,0.953506,1.0,7.945223,2822.060415,0.083333,0.254363,0.0754,0.927824,0.86847,0.953506,1.0
phase_cued_retrieval,313,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.025283,1.0,0.962279,0.015041,1.015155,1.0,1.0,0.985164,0.985164,0.014836,0.962279,1.0,11.695721,120056.880648,0.0,0.029591,1.4e-05,0.817585,0.817585,0.962279,0.5,11.115753,67221.80814,0.0,0.027893,7.8e-05,0.883776,0.883776,0.962279,0.583333
exact_offset_passkey,313,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.025283,1.0,0.962279,0.027679,1.028065,1.0,1.0,0.972782,0.972782,0.027218,0.962279,1.0,9.864122,19227.989099,0.0,0.048425,0.001799,0.788189,0.788189,0.962279,1.0,10.232413,27789.492636,0.0,0.032303,0.000538,0.800937,0.800937,0.962279,1.0
tiny_text_fact_qa,313,no_position,no_position,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.025283,1.0,0.962279,0.026787,1.027149,1.0,1.0,0.973699,0.973699,0.026301,0.962279,1.0,3.03148,20.72789,0.666667,0.730159,0.614572,0.943435,0.337223,0.962279,1.0,5.107894,165.321857,0.25,0.439077,0.247722,0.921714,0.671714,0.962279,1.0
phase_cued_retrieval,313,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.029796,2.216263,0.958703,0.022622,1.022879,1.0,1.0,0.977773,0.977773,0.022227,0.958703,1.0,9.622025,15093.578842,0.0,0.053221,0.000769,0.703814,0.703814,0.958703,0.333333,10.753505,46793.767194,0.0,0.056559,0.000869,0.667832,0.667832,0.958703,0.5
exact_offset_passkey,313,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.029796,2.216263,0.958703,0.021843,1.022083,1.0,1.0,0.978566,0.978566,0.021434,0.958703,1.0,7.118942,1235.14345,0.166667,0.230218,0.155635,0.754436,0.58777,0.958703,1.0,9.209993,9996.529946,0.083333,0.122504,0.059713,0.675899,0.646194,0.958703,1.0
tiny_text_fact_qa,313,sinusoidal,sinusoidal,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.029796,2.216263,0.958703,0.035906,1.036558,1.0,1.0,0.964981,0.964981,0.035019,0.958703,1.0,1.224006,3.400786,0.833333,0.857143,0.772341,0.868962,0.157937,0.958703,1.0,1.684285,5.388599,0.666667,0.769676,0.549224,0.733801,0.242292,0.958703,1.0
phase_cued_retrieval,313,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.045967,0.662265,0.96074,0.057028,1.058685,1.0,1.0,0.951563,0.951563,0.048437,0.96074,1.0,10.486382,35824.30036,0.0,0.042813,0.000395,0.723138,0.723138,0.96074,0.333333,11.156807,70038.985268,0.0,0.024568,0.00019,0.802264,0.802264,0.96074,0.75
exact_offset_passkey,313,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.045967,0.662265,0.96074,0.032664,1.033203,1.0,1.0,0.967946,0.967946,0.032054,0.96074,1.0,7.084934,1193.844946,0.166667,0.244156,0.123554,0.750797,0.701045,0.96074,1.0,9.912435,20179.747162,0.0,0.037563,0.001635,0.749587,0.749587,0.96074,1.0
tiny_text_fact_qa,313,alibi,alibi,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.045967,0.662265,0.96074,0.035077,1.0357,1.0,1.0,0.965708,0.965708,0.034292,0.96074,1.0,4.654119,105.016667,0.5,0.555958,0.480482,0.970321,0.470321,0.96074,1.0,6.261142,523.81704,0.25,0.421221,0.252779,0.96836,0.71836,0.96074,1.0
phase_cued_retrieval,313,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.028735,2.371452,0.960109,0.018533,1.018706,1.0,1.0,0.981819,0.981819,0.018181,0.960109,1.0,12.229329,204705.73759,0.0,0.04811,1.9e-05,0.944215,0.944215,0.960109,0.833333,11.924205,150874.630797,0.0,0.043398,5.3e-05,0.810221,0.810221,0.960109,0.583333
exact_offset_passkey,313,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.028735,2.371452,0.960109,0.031719,1.032228,1.0,1.0,0.968881,0.968881,0.031119,0.960109,1.0,10.593088,39858.374238,0.0,0.066624,0.009297,0.760004,0.760004,0.960109,1.0,10.345718,31123.472971,0.0,0.080802,0.006511,0.795132,0.795132,0.960109,1.0
tiny_text_fact_qa,313,rope_relative,rope,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.028735,2.371452,0.960109,0.027111,1.027482,1.0,1.0,0.973388,0.973388,0.026612,0.960109,1.0,2.596192,13.41256,0.333333,0.576389,0.432051,0.819911,0.486578,0.960109,1.0,4.035588,56.576152,0.5,0.600446,0.479892,0.921634,0.421634,0.960109,1.0
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,80,0.03,0.7,full_batch_adam_support_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,0.026836,-0.142734,0.970248,0.018267,1.018435,1.0,1.0,0.981992,0.981992,0.018008,0.970248,1.0,12.751283,344994.412337,0.0,0.027063,1e-05,0.893584,0.893584,0.970248,0.666667,12.403715,243705.363706,0.0,0.027943,3.5e-05,0.858902,0.858902,0.970248,0.666667
